 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) 
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,1,bring exit wires to exit#1,0.15
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,2,bring power wires for continious row,0
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,3,plug 4x pc252 connectors for continius row wires,0
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,5,turn power cord,0.17
SR1,pendant,1,BI,Assembly,4,ewdbi1p,1,bring exit wires to exit#1,0.15
SR1,pendant,1,BI,Assembly,4,ewdbi1p,2,bring power wires for continious row,0.1
SR1,pendant,1,BI,Assembly,4,ewdbi1p,3,plug 4x pc252 connectors for continius row wires,0.24
SR1,pendant,1,BI,Assembly,4,ewdbi1p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SR1,pendant,1,BI,Assembly,4,ewdbi1p,5,turn power cord,0.17
SRM,pendant,1,BI,Assembly,4,ewdbi1p,1,bring exit wires to exit#1,0
SRM,pendant,1,BI,Assembly,4,ewdbi1p,2,bring power wires for continious row,0.2
SRM,pendant,1,BI,Assembly,4,ewdbi1p,3,plug 4x pc252 connectors for continius row wires,0.24
SRM,pendant,1,BI,Assembly,4,ewdbi1p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRM,pendant,1,BI,Assembly,4,ewdbi1p,5,turn power cord,0
SRE,pendant,1,BI,Assembly,4,ewdbi1p,1,bring exit wires to exit#1,0
SRE,pendant,1,BI,Assembly,4,ewdbi1p,2,bring power wires for continious row,0.1
SRE,pendant,1,BI,Assembly,4,ewdbi1p,3,plug 4x pc252 connectors for continius row wires,0
SRE,pendant,1,BI,Assembly,4,ewdbi1p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,pendant,1,BI,Assembly,4,ewdbi1p,5,turn power cord,0
Complete Section,pendant,2,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0.15
Complete Section,pendant,2,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0.15
Complete Section,pendant,2,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0
Complete Section,pendant,2,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0
Complete Section,pendant,2,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,2.92
Complete Section,pendant,2,BI,Assembly,4,ewdbi2p,6,turn power cords,0.34
SR1,pendant,2,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0.15
SR1,pendant,2,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0
SR1,pendant,2,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.1
