 Product ID , Description , Work Center , Option , Position , Activity , Length , Qty , Unit Time (min) , Total Time (min) 
SOLW,-,Brake,misc,1,bend 2 end brackets,4,1,1,1
SOLW,-,Brake,misc,2,cut middle end brackey,4,1,0,0
SOLW,-,Brake,misc,1,bend 2 end brackets,8,1,1,1
SOLW,-,Brake,misc,2,cut middle end brackey,8,1,0.5,0.5
SOLW,-,Brake,misc,1,bend 2 end brackets,12,1,1,1
SOLW,-,Brake,misc,2,cut middle end brackey,12,1,1,1
AR,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
AR,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
AR,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARLED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARLED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARLED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARS,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARS,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARS,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARSLED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARSLED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARSLED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARW,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARW,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARW,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARWBT,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARWBT,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARWBT,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARWBTLED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARWBTLED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARWBTLED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARWLED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARWLED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARWLED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
ARWLEDBT,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
ARWLEDBT,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
ARWLEDBT,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
B2SQDLED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
B2SQDLED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
B2SQDLED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
B2SQILED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
B2SQILED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
B2SQILED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
B2SQSLED,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
B2SQSLED,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
B2SQSLED,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
B2SQWDLED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B2SQWDLED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B2SQWDLED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B2SQWILED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B2SQWILED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B2SQWILED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6W,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6W,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6W,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WD,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WD,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WD,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WDLED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WDLED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WDLED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WDLEDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WDLEDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WDLEDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WI,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WI,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WI,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WILED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WILED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WILED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WILEDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WILEDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WILEDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WIPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WIPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WIPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WLEDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WLEDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WLEDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
B6WPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
B6WPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
B6WPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBW,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBW,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBW,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWD,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWD,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWD,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWDILED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWDILED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWDILED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWDLED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWDLED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWDLED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWDLEDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWDLEDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWDLEDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWI,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWI,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWI,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWILED,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWILED,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWILED,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWILEDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWILEDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWILEDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWIPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWIPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWIPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BBWLEDPAT,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BBWLEDPAT,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BBWLEDPAT,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
BD,-,CNC,cncf8,1,CNC Time,8,1,1.35,1.35
BD,-,CNC,cncf12,1,CNC Time,12,1,1.35,1.35
BD,-,CNC,cncf4,1,CNC Time,4,1,0.52,0.52
BDIW,-,CNC,cnca8,1,CNC Time,8,1,1.96,1.96
BDIW,-,CNC,cnca4,1,CNC Time,4,1,1.96,1.96
BDIW,-,CNC,cnca12,1,CNC Time,12,1,1.96,1.96
