 Family Product , Optic , Work Center , Option , Length , ID , Task , Time (min) 
AIR,S,Assembly,aoptic18,4,1,Clip lens+ QC,0.49
AIR,S,Assembly,aoptic18,8,1,Clip lens+ QC,0.98
AIR,S,Assembly,aoptic18,12,1,Clip lens+ QC,1.47
AIRLED,S,Assembly,aoptic18,4,1,Clip lens+ QC,0.49
AIRLED,S,Assembly,aoptic18,8,1,Clip lens+ QC,0.98
AIRLED,S,Assembly,aoptic18,12,1,Clip lens+ QC,1.47
ARC,B,Assembly,aoptic19,4,2,Slide optic in extrusion,0.31
ARC,B,Assembly,aoptic19,4,3,Slide covers,0.22
ARC,B,Assembly,aoptic19,8,2,Slide optic in extrusion,0.52
ARC,B,Assembly,aoptic19,8,3,Slide covers,0.33
ARC,B,Assembly,aoptic19,12,2,Slide optic in extrusion,0.78
ARC,B,Assembly,aoptic19,12,3,Slide covers,0.44
ARC,P,Assembly,aoptic19,4,2,Slide optic in extrusion,0.31
ARC,P,Assembly,aoptic19,4,3,Slide covers,0.22
ARC,P,Assembly,aoptic19,8,2,Slide optic in extrusion,0.52
ARC,P,Assembly,aoptic19,8,3,Slide covers,0.33
ARC,P,Assembly,aoptic19,12,2,Slide optic in extrusion,0.78
ARC,P,Assembly,aoptic19,12,3,Slide covers,0.44
ARC,PL,Assembly,aoptic20,4,2,Slide covers,0.34
ARC,PL,Assembly,aoptic20,4,3,Widen & clip baffle/loover in product,0.9
ARC,PL,Assembly,aoptic20,8,2,Slide covers,0.56
ARC,PL,Assembly,aoptic20,8,3,Widen & clip baffle/loover in product,1.8
ARC,PL,Assembly,aoptic20,12,2,Slide covers,0.78
ARC,PL,Assembly,aoptic20,12,3,Widen & clip baffle/loover in product,2.7
ARC,S,Assembly,aoptic19,4,2,Slide optic in extrusion,0.31
ARC,S,Assembly,aoptic19,4,3,Slide covers,0.22
ARC,S,Assembly,aoptic19,8,2,Slide optic in extrusion,0.52
ARC,S,Assembly,aoptic19,8,3,Slide covers,0.33
ARC,S,Assembly,aoptic19,12,2,Slide optic in extrusion,0.78
ARC,S,Assembly,aoptic19,12,3,Slide covers,0.44
ARC,SB,Assembly,aoptic20,4,2,Slide covers,0.34
ARC,SB,Assembly,aoptic20,4,3,Widen & clip baffle/loover in product,0.9
ARC,SB,Assembly,aoptic20,8,2,Slide covers,0.56
ARC,SB,Assembly,aoptic20,8,3,Widen & clip baffle/loover in product,1.8
ARC,SB,Assembly,aoptic20,12,2,Slide covers,0.78
ARC,SB,Assembly,aoptic20,12,3,Widen & clip baffle/loover in product,2.7
ARC,SE,Assembly,aoptic19,4,2,Slide optic in extrusion,0.31
ARC,SE,Assembly,aoptic19,4,3,Slide covers,0.22
ARC,SE,Assembly,aoptic19,8,2,Slide optic in extrusion,0.52
ARC,SE,Assembly,aoptic19,8,3,Slide covers,0.33
ARC,SE,Assembly,aoptic19,12,2,Slide optic in extrusion,0.78
ARC,SE,Assembly,aoptic19,12,3,Slide covers,0.44
ARC,B,Preparation,aoptic19,4,1,Clean optic,0.1
ARC,B,Preparation,aoptic19,8,1,Clean optic,0.22
ARC,B,Preparation,aoptic19,12,1,Clean optic,0.36
ARC,P,Preparation,aoptic19,4,1,Clean optic,0.1
ARC,P,Preparation,aoptic19,8,1,Clean optic,0.22
ARC,P,Preparation,aoptic19,12,1,Clean optic,0.36
ARC,PL,Preparation,aoptic20,4,1,Unwrap loover/baffle,0.26
ARC,PL,Preparation,aoptic20,8,1,Unwrap loover/baffle,0.52
ARC,PL,Preparation,aoptic20,12,1,Unwrap loover/baffle,0.78
ARC,S,Preparation,aoptic19,4,1,Clean optic,0.1
ARC,S,Preparation,aoptic19,8,1,Clean optic,0.22
ARC,S,Preparation,aoptic19,12,1,Clean optic,0.36
ARC,SB,Preparation,aoptic20,4,1,Unwrap loover/baffle,0.26
ARC,SB,Preparation,aoptic20,8,1,Unwrap loover/baffle,0.52
ARC,SB,Preparation,aoptic20,12,1,Unwrap loover/baffle,0.78
ARC,SE,Preparation,aoptic19,4,1,Clean optic,0.1
ARC,SE,Preparation,aoptic19,8,1,Clean optic,0.22
ARC,SE,Preparation,aoptic19,12,1,Clean optic,0.36
AURA,SO,Assembly,aoptic18,14,1,clip lens+ QC,0.49
AURA,SO,Assembly,aoptic18,22,1,clip lens+ QC,0.98
AURA,SO,Assembly,aoptic18,24,1,clip lens+ QC,1.47
B2LED,B,Assembly,aoptic5,4,1,Clip blank cover,0.3
B2LED,B,Assembly,aoptic5,8,1,Clip blank cover,0.45
B2LED,B,Assembly,aoptic5,12,1,Clip blank cover,0.6
B2LED,C,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,C,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,C,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,F,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,F,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,F,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,FL,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,FL,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,FL,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,NO,Assembly,aoptic0,4,1,No lens,0
B2LED,NO,Assembly,aoptic0,8,1,No lens,0
B2LED,NO,Assembly,aoptic0,12,1,No lens,0
B2LED,PL,Assembly,aoptic3,4,2,Clip louver on housing,0.41
B2LED,PL,Assembly,aoptic3,8,2,Clip louver on housing,0.82
B2LED,PL,Assembly,aoptic3,12,2,Clip louver on housing,1.23
B2LED,RG,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,RG,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,RG,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,S,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,S,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,S,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,SO,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,SO,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,SO,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,C,Preparation,aoptic1,4,1,Clean lens,0.16
B2LED,C,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,C,Preparation,aoptic1,12,1,Clean lens,0.36
B2LED,F,Preparation,aoptic1,4,1,Clean lens,0.16
B2LED,F,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,F,Preparation,aoptic1,12,1,Clean lens,0.36
B2LED,FL,Preparation,aoptic1,4,1,Clean lens,0.16
B2LED,FL,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,FL,Preparation,aoptic1,12,1,Clean lens,0.36
B2LED,PL,Preparation,aoptic3,4,1,Unwrap louver,0.26
B2LED,PL,Preparation,aoptic3,8,1,Unwrap louver,0.52
B2LED,PL,Preparation,aoptic3,12,1,Unwrap louver,0.78
B2LED,RG,Preparation,aoptic1,4,1,Clean lens,0.16
