Product ID,Fixture,Work Center,Option,Length,ID,Task,Time (min)
101C,pendant,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
101C,pendant,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
101C,pendant,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
101CA,pendant,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
101CA,pendant,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
101CA,pendant,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
101CS,surface,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
101CS,surface,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
101CS,surface,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
101CW,wall,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
101CW,wall,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
101CW,wall,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
101CWA,wall,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
101CWA,wall,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
101CWA,wall,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
101F,pendant,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
101F,pendant,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
101F,pendant,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
101FA,pendant,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
101FA,pendant,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
101FA,pendant,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
101FW,wall,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
101FW,wall,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
101FW,wall,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
101FWA,wall,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
101FWA,wall,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
101FWA,wall,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
202C,pendant,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
202C,pendant,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
202C,pendant,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
202CA,pendant,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
202CA,pendant,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
202CA,pendant,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
202CS,surface,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
202CS,surface,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
202CS,surface,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
202CW,wall,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
202CW,wall,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
202CW,wall,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
202CWA,wall,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
202CWA,wall,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
202CWA,wall,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
202F,pendant,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
202F,pendant,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
202F,pendant,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
202FA,pendant,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
202FA,pendant,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
202FA,pendant,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
202FW,wall,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
202FW,wall,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
202FW,wall,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
202FWA,wall,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
202FWA,wall,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
202FWA,wall,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
AR,pendant,Assembly,ascrew9,4,1,Place cover ballast & screwed (4),0.87
AR,pendant,Assembly,ascrew9,8,1,Place cover ballast & screwed (4),1.74
AR,pendant,Assembly,ascrew9,12,1,Place cover ballast & screwed (4),2.61
ARC,pendant,Assembly,ascrewr10,4,2,Place ballast cover+fix with 2 screws,0.96
ARC,pendant,Assembly,ascrewr10,8,2,Place ballast cover+fix with 2 screws,1.92
ARC,pendant,Assembly,ascrewr10,12,2,Place ballast cover+fix with 2 screws,2.88
ARCA,pendant,Assembly,ascrewr11,4,3,Fix other side deflector,1.26
ARCA,pendant,Assembly,ascrewr11,8,3,Fix other side deflector,2.52
ARCA,pendant,Assembly,ascrewr11,12,3,Fix other side deflector,3.78
