Length,ProductID,Table,Description,Wires Qty,Bracket,Task (Ballast),Cartridge 1,Cartridge 2,Cartridge 3,Cartridge 1 SR1,Cartridge 2 SR1,Cartridge 3 SR1,Cartridge 1 SRM,Cartridge 2 SRM,Cartridge 3 SRM,Cartridge 1 SRE,Cartridge 2 SRE,Cartridge 3 SRE,,SR1,SRM,SRE
,101C,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101C,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101C,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101C,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CA,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CA,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CA,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CA,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CS,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CS,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CS,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CS,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CW,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CW,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CW,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CW,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CWA,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CWA,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CWA,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101CWA,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101F,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101F,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101F,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101F,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FA,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FA,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FA,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FA,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FW,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FW,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FW,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FW,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FWA,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FWA,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FWA,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,101FWA,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202C,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202C,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202C,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202C,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CA,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CA,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CA,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CA,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CS,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CS,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CS,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CS,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CW,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CW,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CW,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CW,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CWA,Ballast,BI,4,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CWA,Ballast,D,5,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CWA,Ballast,E,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
,202CWA,Ballast,ERS,3,Bracket,XO : 3 screws +2brkt,,,,,,,,,,,,,,,,
