Bracket/N Bracket,Lighting,Driver/Ballast,Work Center,Option,ID,Task,Qty,Unit Time (min),Total time (min),,Sum of Total time (min),Column Labels,,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,1,Bring ballast on table,1,0.09,0.09,,Row Labels,Preparation,Grand Total,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,2,Plug black & white wires in yellow connector,1,0.2,0.2,,fluorescent,18.57,18.57,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,3,Cut end of black & white wires,1,0.185,0.185,,BI,,,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,4,Plug black & white wires in ballast,1,0.12,0.12,,Bracket,3.525,3.525,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,5,Put end of purple & grey wires and plug in ballast,1,0.34,0.34,,N Bracket,2.525,2.525,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,6,Plug white & black wires into yellow connectors,1,0.2,0.2,,D,,,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,7,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,Bracket,3.255,3.255,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,8,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,N Bracket,2.255,2.255,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,9,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,E,,,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,10,Qc,1,0.05,0.05,,Bracket,2.915,2.915,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,11,Installed 2 brackets,1,1,1,,N Bracket,1.915,1.915,,,,,,,,,,,,,,,
Bracket,fluorescent,D,Preparation,subafbd,12,Put ballast aside,1,0.08,0.08,,ERS,,,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,1,Bring ballast on table,1,0.09,0.09,,Bracket,1.59,1.59,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,2,Plug black & white wires in yellow connector,1,0.2,0.2,,N Bracket,0.59,0.59,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,3,Cut end of black & white wires,1,0.185,0.185,,led,20.91,20.91,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,4,Plug black & white wires in ballast,1,0.12,0.12,,BI,,,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,5,Plug white & black wires into yellow connectors,1,0.2,0.2,,Bracket,3.525,3.525,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,6,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,N Bracket,2.525,2.525,,,,,,,,,,,,,,,
