 Product ID , LIGHTING , Bracket/N Bracket , TASK , WORK CENTER , DESCRIPTION ,UNIT TIME (MIN),
 101C , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101CA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101CS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101CW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101CWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101F , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101FA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101FW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 101FWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202C , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202CA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202CS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202CW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202CWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202F , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
