Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,
101C,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,Row Labels,Assembly,Preparation,Grand Total,
101C,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,101C,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,101CA,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,101CS,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,101CW,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,101CWA,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,101F,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,101FA,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,101FW,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,101FWA,10.32,0.71,11.03,
101C,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,202C,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,202CA,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,202CS,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,202CW,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,202CWA,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,202F,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,202FA,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,202FW,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,202FWA,10.32,0.71,11.03,
101CA,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,202LED,9.84,0.75,10.59,
101CA,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,202WLED,9.84,0.75,10.59,
101CA,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,AR,9.54,0.71,10.25,
101CS,fluorescent,surface,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,ARC,10.32,0.71,11.03,
101CS,fluorescent,surface,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,ARCA,10.32,0.71,11.03,
101CS,fluorescent,surface,battfluo4,Assembly,6,Indicator light connections+clip light,2,,ARCLED,9.84,0.75,10.59,
101CS,fluorescent,surface,battfluo4,Assembly,7,Test switch connections,2.81,,ARCW,10.32,0.71,11.03,
101CS,fluorescent,surface,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,ARCWA,10.32,0.71,11.03,
101CS,fluorescent,surface,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,ARCWLED,9.84,0.75,10.59,
101CS,fluorescent,surface,battfluo4,Assembly,10,Extra time for Battery test,0.2,,ARLED,9.84,0.75,10.59,
101CS,fluorescent,surface,battfluo4,Assembly,11,Emergency labels,0.36,,ARS,9.54,0.71,10.25,
101CS,fluorescent,surface,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,ARSLED,9.84,0.75,10.59,
101CS,fluorescent,surface,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,ARW,9.54,0.71,10.25,
101CS,fluorescent,surface,battfluo4,Preparation,3,Put ballast aside,0.08,,ARWBT,9.54,0.71,10.25,
101CW,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,ARWBTLED,9.84,0.75,10.59,
101CW,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,ARWLED,9.84,0.75,10.59,
101CW,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,AULED,9.84,0.75,10.59,
101CW,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,B6,10.7,1.71,12.41,
101CW,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,B6D,9.84,0.71,10.55,
