Fixture Type,Work Center,Lamp Qty,Option,ID,Task,Time(min),,,,,,,,,
recessed,Assembly,1,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,Sum of Time(min),Column Labels,,,,,,
recessed,Assembly,1,optioncbrs,31,CB wiring connection,0,,Row Labels,Assembly,CNC,Grind,Single Saw,Subassembly LED,Drill,Grand Total
recessed,Assembly,1,optioncbrs,32,screw 4 springs in housing(with gage),1.22,,pendant,73.4,38.742,8.1,46.238,52.9,24.5,243.88
recessed,Assembly,1,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",1.13,,1,8,7.44,0.81,1.058,5.29,2.45,25.048
recessed,Assembly,1,optioncbrs,34,clip face plate in housing + extra time to put optic,0.3,,2,13.89,6.956,1.62,10.04,10.58,4.9,47.986
recessed,Assembly,1,optioncbrs,35,lamp test,1.2,,3,19.78,10.434,2.43,15.06,15.87,7.35,70.924
recessed,Assembly,2,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,4,31.73,13.912,3.24,20.08,21.16,9.8,99.922
recessed,Assembly,2,optioncbrs,31,CB wiring connection,1.34,,recessed,59.26,74.4,8.1,20.08,52.9,24.5,239.24
recessed,Assembly,2,optioncbrs,32,screw 4 springs in housing(with gage),2.44,,1,5.98,7.44,0.81,2.008,5.29,2.45,23.978
recessed,Assembly,2,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",2.26,,2,11.87,14.88,1.62,4.016,10.58,4.9,47.866
recessed,Assembly,2,optioncbrs,34,clip face plate in housing + extra time to put optic,0.6,,3,17.76,22.32,2.43,6.024,15.87,7.35,71.754
recessed,Assembly,2,optioncbrs,35,lamp test,2.4,,4,23.65,29.76,3.24,8.032,21.16,9.8,95.642
recessed,Assembly,3,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,surface,59.26,74.4,8.1,20.08,52.9,24.5,239.24
recessed,Assembly,3,optioncbrs,31,CB wiring connection,2.68,,1,5.98,7.44,0.81,2.008,5.29,2.45,23.978
recessed,Assembly,3,optioncbrs,32,screw 4 springs in housing(with gage),3.66,,2,11.87,14.88,1.62,4.016,10.58,4.9,47.866
recessed,Assembly,3,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",3.39,,3,17.76,22.32,2.43,6.024,15.87,7.35,71.754
recessed,Assembly,3,optioncbrs,34,clip face plate in housing + extra time to put optic,0.9,,4,23.65,29.76,3.24,8.032,21.16,9.8,95.642
recessed,Assembly,3,optioncbrs,35,lamp test,3.6,,wall,73.4,38.742,8.1,46.238,52.9,24.5,243.88
recessed,Assembly,4,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,1,8,7.44,0.81,1.058,5.29,2.45,25.048
recessed,Assembly,4,optioncbrs,31,CB wiring connection,4.02,,2,13.89,6.956,1.62,10.04,10.58,4.9,47.986
recessed,Assembly,4,optioncbrs,32,screw 4 springs in housing(with gage),4.88,,3,19.78,10.434,2.43,15.06,15.87,7.35,70.924
recessed,Assembly,4,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",4.52,,4,31.73,13.912,3.24,20.08,21.16,9.8,99.922
recessed,Assembly,4,optioncbrs,34,clip face plate in housing + extra time to put optic,1.2,,Grand Total,265.32,226.284,32.4,132.636,211.6,98,966.24
recessed,Assembly,4,optioncbrs,35,lamp test,4.8,,,,,,,,,
surface,Assembly,1,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
surface,Assembly,1,optioncbrs,31,CB wiring connection,0,,,,,,,,,
surface,Assembly,1,optioncbrs,32,screw 4 springs in housing(with gage),1.22,,,,,,,,,
surface,Assembly,1,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",1.13,,,,,,,,,
surface,Assembly,1,optioncbrs,34,clip face plate in housing + extra time to put optic,0.3,,,,,,,,,
surface,Assembly,1,optioncbrs,35,lamp test,1.2,,,,,,,,,
surface,Assembly,2,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
surface,Assembly,2,optioncbrs,31,CB wiring connection,1.34,,,,,,,,,
surface,Assembly,2,optioncbrs,32,screw 4 springs in housing(with gage),2.44,,,,,,,,,
surface,Assembly,2,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",2.26,,,,,,,,,
surface,Assembly,2,optioncbrs,34,clip face plate in housing + extra time to put optic,0.6,,,,,,,,,
surface,Assembly,2,optioncbrs,35,lamp test,2.4,,,,,,,,,
surface,Assembly,3,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
surface,Assembly,3,optioncbrs,31,CB wiring connection,2.68,,,,,,,,,
surface,Assembly,3,optioncbrs,32,screw 4 springs in housing(with gage),3.66,,,,,,,,,
surface,Assembly,3,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",3.39,,,,,,,,,
surface,Assembly,3,optioncbrs,34,clip face plate in housing + extra time to put optic,0.9,,,,,,,,,
surface,Assembly,3,optioncbrs,35,lamp test,3.6,,,,,,,,,
surface,Assembly,4,optioncbrs,30,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
surface,Assembly,4,optioncbrs,31,CB wiring connection,4.02,,,,,,,,,
surface,Assembly,4,optioncbrs,32,screw 4 springs in housing(with gage),4.88,,,,,,,,,
surface,Assembly,4,optioncbrs,33,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",4.52,,,,,,,,,
surface,Assembly,4,optioncbrs,34,clip face plate in housing + extra time to put optic,1.2,,,,,,,,,
surface,Assembly,4,optioncbrs,35,lamp test,4.8,,,,,,,,,
pendant,Assembly,1,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
pendant,Assembly,1,optioncbpw,27,CB wiring connection,0,,,,,,,,,
pendant,Assembly,1,optioncbpw,28,connect exit wires to pc+screw pc into housing,2.02,,,,,,,,,
pendant,Assembly,1,optioncbpw,29,screw 4 springs in housing(with gage),1.22,,,,,,,,,
pendant,Assembly,1,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",1.13,,,,,,,,,
pendant,Assembly,1,optioncbpw,31,extra time to put optic,0.3,,,,,,,,,
pendant,Assembly,1,optioncbpw,32,lamp test,1.2,,,,,,,,,
pendant,Assembly,2,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
pendant,Assembly,2,optioncbpw,27,CB wiring connection,1.34,,,,,,,,,
pendant,Assembly,2,optioncbpw,28,connect exit wires to pc+screw pc into housing,2.02,,,,,,,,,
pendant,Assembly,2,optioncbpw,29,screw 4 springs in housing(with gage),2.44,,,,,,,,,
pendant,Assembly,2,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",2.26,,,,,,,,,
pendant,Assembly,2,optioncbpw,31,extra time to put optic,0.6,,,,,,,,,
pendant,Assembly,2,optioncbpw,32,lamp test,2.4,,,,,,,,,
pendant,Assembly,3,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
pendant,Assembly,3,optioncbpw,27,CB wiring connection,2.68,,,,,,,,,
pendant,Assembly,3,optioncbpw,28,connect exit wires to pc+screw pc into housing,2.02,,,,,,,,,
pendant,Assembly,3,optioncbpw,29,screw 4 springs in housing(with gage),3.66,,,,,,,,,
pendant,Assembly,3,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",3.39,,,,,,,,,
pendant,Assembly,3,optioncbpw,31,extra time to put optic,0.9,,,,,,,,,
pendant,Assembly,3,optioncbpw,32,lamp test,3.6,,,,,,,,,
pendant,Assembly,4,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
pendant,Assembly,4,optioncbpw,27,CB wiring connection,4.02,,,,,,,,,
pendant,Assembly,4,optioncbpw,28,connect exit wires to pc+screw pc into housing,8.08,,,,,,,,,
pendant,Assembly,4,optioncbpw,29,screw 4 springs in housing(with gage),4.88,,,,,,,,,
pendant,Assembly,4,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",4.52,,,,,,,,,
pendant,Assembly,4,optioncbpw,31,extra time to put optic,1.2,,,,,,,,,
pendant,Assembly,4,optioncbpw,32,lamp test,4.8,,,,,,,,,
wall,Assembly,1,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
wall,Assembly,1,optioncbpw,27,CB wiring connection,0,,,,,,,,,
wall,Assembly,1,optioncbpw,28,connect exit wires to pc+screw pc into housing,2.02,,,,,,,,,
wall,Assembly,1,optioncbpw,29,screw 4 springs in housing(with gage),1.22,,,,,,,,,
wall,Assembly,1,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",1.13,,,,,,,,,
wall,Assembly,1,optioncbpw,31,extra time to put optic,0.3,,,,,,,,,
wall,Assembly,1,optioncbpw,32,lamp test,1.2,,,,,,,,,
wall,Assembly,2,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
wall,Assembly,2,optioncbpw,27,CB wiring connection,1.34,,,,,,,,,
wall,Assembly,2,optioncbpw,28,connect exit wires to pc+screw pc into housing,2.02,,,,,,,,,
wall,Assembly,2,optioncbpw,29,screw 4 springs in housing(with gage),2.44,,,,,,,,,
wall,Assembly,2,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",2.26,,,,,,,,,
wall,Assembly,2,optioncbpw,31,extra time to put optic,0.6,,,,,,,,,
wall,Assembly,2,optioncbpw,32,lamp test,2.4,,,,,,,,,
wall,Assembly,3,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
wall,Assembly,3,optioncbpw,27,CB wiring connection,2.68,,,,,,,,,
wall,Assembly,3,optioncbpw,28,connect exit wires to pc+screw pc into housing,2.02,,,,,,,,,
wall,Assembly,3,optioncbpw,29,screw 4 springs in housing(with gage),3.66,,,,,,,,,
wall,Assembly,3,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",3.39,,,,,,,,,
wall,Assembly,3,optioncbpw,31,extra time to put optic,0.9,,,,,,,,,
wall,Assembly,3,optioncbpw,32,lamp test,3.6,,,,,,,,,
wall,Assembly,4,optioncbpw,26,screw CB ballast into housing+ground wire,1.43,,,,,,,,,
wall,Assembly,4,optioncbpw,27,CB wiring connection,4.02,,,,,,,,,
wall,Assembly,4,optioncbpw,28,connect exit wires to pc+screw pc into housing,8.08,,,,,,,,,
wall,Assembly,4,optioncbpw,29,screw 4 springs in housing(with gage),4.88,,,,,,,,,
wall,Assembly,4,optioncbpw,30,"skin 2 wires, connect to ballast, screwpress sub-assy in housing",4.52,,,,,,,,,
wall,Assembly,4,optioncbpw,31,extra time to put optic,1.2,,,,,,,,,
wall,Assembly,4,optioncbpw,32,lamp test,4.8,,,,,,,,,
recessed,CNC,1,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",1.01,,,,,,,,,
recessed,CNC,1,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",1.01,,,,,,,,,
