Cartridge/Board,Description,Work Center,Type,ID,Task,Qty,Unit Time,Total Time,,,,,,,
boardgrid,direct,Preparation,11,1,put plastic washer on screw,1,0.4,0.4,,,Sum of Total Time,Column Labels,,,
boardgrid,direct,Assembly,11,2,"unwrap boards, place in housing & screwed",1,0.46,0.46,,,Row Labels,Assembly,Subassembly LED,Preparation,Grand Total
boardgrid,direct,Assembly,11,3,plug board with hardness,1,0,0,,,boardgrid,,,,
boardgrid,direct,Preparation,12,1,put plastic washer on screw,1,0.8,0.8,,,direct,,,,
boardgrid,direct,Assembly,12,2,"unwrap boards, place in housing & screwed",1,0.92,0.92,,,11,0.46,,0.4,0.86
boardgrid,direct,Assembly,12,3,plug board with hardness,1,0.14,0.14,,,12,1.06,,0.8,1.86
boardgrid,direct,Preparation,14,1,put plastic washer on screw,1,1.6,1.6,,,14,2.12,,1.6,3.72
boardgrid,direct,Assembly,14,2,"unwrap boards, place in housing & screwed",1,1.84,1.84,,,22,1.2,,0.8,2
boardgrid,direct,Assembly,14,3,plug board with hardness,1,0.28,0.28,,,24,2.12,,1.6,3.72
boardgrid,direct,Preparation,22,1,put plastic washer on screw,1,0.8,0.8,,,boardsculpt,,,,
boardgrid,direct,Assembly,22,2,"unwrap boards, place in housing & screwed",1,0.92,0.92,,,direct,,,,
boardgrid,direct,Assembly,22,3,plug board with hardness,1,0.28,0.28,,,4,,,2.34,2.34
boardgrid,direct,Preparation,24,1,put plastic washer on screw,1,1.6,1.6,,,8,,,4.68,4.68
boardgrid,direct,Assembly,24,2,"unwrap boards, place in housing & screwed",1,1.84,1.84,,,12,,,7.02,7.02
boardgrid,direct,Assembly,24,3,plug board with hardness,1,0.28,0.28,,,C1-1,,3.457916667,,3.457916667
boardsculpt,direct,Preparation,4,1,mesure & cut LED tape right length,1,0.21,0.21,,,C1-10,,7.6765,,7.6765
boardsculpt,direct,Preparation,4,2,clean reflector with alcool,1,0.2,0.2,,,C1-11,,5.627972222,,5.627972222
boardsculpt,direct,Preparation,4,3,stick LED tape on reflector,1,0.58,0.58,,,C1-12,,6.550111111,,6.550111111
boardsculpt,direct,Preparation,4,4,cut 2 ends of reflector,1,0.29,0.29,,,C1-13,,7.47225,,7.47225
boardsculpt,direct,Preparation,4,5,weld 2 pillows on board one end,1,0.4,0.4,,,C1-14,,8.394388889,,8.394388889
boardsculpt,direct,Preparation,4,6,weld 2 wires on board on 1 end,1,0.43,0.43,,,C1-15,,8.761527778,,8.761527778
boardsculpt,direct,Preparation,4,7,write order # on back reflector,1,0.23,0.23,,,C1-16,,5.235861111,,5.235861111
boardsculpt,direct,Preparation,8,1,mesure & cut LED tape right length,2,0.21,0.42,,,C1-17,,6.158,,6.158
boardsculpt,direct,Preparation,8,2,clean reflector with alcool,2,0.2,0.4,,,C1-18,,7.080138889,,7.080138889
boardsculpt,direct,Preparation,8,3,stick LED tape on reflector,2,0.58,1.16,,,C1-19,,8.002277778,,8.002277778
boardsculpt,direct,Preparation,8,4,cut 2 ends of reflector,2,0.29,0.58,,,C1-2,,4.380055556,,4.380055556
boardsculpt,direct,Preparation,8,5,weld 2 pillows on board one end,2,0.4,0.8,,,C1-20,,8.924416667,,8.924416667
boardsculpt,direct,Preparation,8,6,weld 2 wires on board on 1 end,2,0.43,0.86,,,C1-21,,9.291555556,,9.291555556
boardsculpt,direct,Preparation,8,7,write order # on back reflector,2,0.23,0.46,,,C1-3,,5.302194444,,5.302194444
boardsculpt,direct,Preparation,12,1,mesure & cut LED tape right length,3,0.21,0.63,,,C1-4,,6.224333333,,6.224333333
boardsculpt,direct,Preparation,12,2,clean reflector with alcool,3,0.2,0.6,,,C1-5,,6.591472222,,6.591472222
boardsculpt,direct,Preparation,12,3,stick LED tape on reflector,3,0.58,1.74,,,C1-6,,4.542944444,,4.542944444
boardsculpt,direct,Preparation,12,4,cut 2 ends of reflector,3,0.29,0.87,,,C1-7,,5.465083333,,5.465083333
boardsculpt,direct,Preparation,12,5,weld 2 pillows on board one end,3,0.4,1.2,,,C1-8,,6.387222222,,6.387222222
boardsculpt,direct,Preparation,12,6,weld 2 wires on board on 1 end,3,0.43,1.29,,,C1-9,,7.309361111,,7.309361111
boardsculpt,direct,Preparation,12,7,write order # on back reflector,3,0.23,0.69,,,C2-1,,3.620805556,,3.620805556
boardsketch,direct,Preparation,10003,1,Test board,1,7.44,7.44,,,C2-10,,7.447277778,,7.447277778
boardsketch,direct,Preparation,10003,2,Unwrap board & fix with 2 screws each board on plate,1,2.16,2.16,,,C2-2,,4.542944444,,4.542944444
boardsketch,direct,Preparation,10003,3,Put plastic washer on screw,1,1.2,1.2,,,C2-3,,5.465083333,,5.465083333
boardsketch,direct,Preparation,10003,4,Place plate of 2 boards on bottom of housing,1,0.72,0.72,,,C2-4,,6.387222222,,6.387222222
boardsketch,direct,Preparation,10003,5,Place plate of 3 boards on bottom of housing,1,0,0,,,C2-5,,6.754361111,,6.754361111
boardsketch,direct,Preparation,10003,6,Plug jumpers between boards,1,4,4,,,C2-6,,4.313722222,,4.313722222
boardsketch,direct,Preparation,10005,1,Test board,1,1.24,1.24,,,C2-7,,5.235861111,,5.235861111
boardsketch,direct,Preparation,10005,2,Unwrap board & fix with 2 screws each board on plate,1,0.72,0.72,,,C2-8,,6.158,,6.158
boardsketch,direct,Preparation,10005,3,Put plastic washer on screw,1,0.4,0.4,,,C2-9,,7.080138889,,7.080138889
boardsketch,direct,Preparation,10005,4,Place plate of 2 boards on bottom of housing,1,0.72,0.72,,,C3-1,,3.783694444,,3.783694444
boardsketch,direct,Preparation,10005,5,Place plate of 3 boards on bottom of housing,1,0,0,,,C3-10,,7.080138889,,7.080138889
boardsketch,direct,Preparation,10005,6,Plug jumpers between boards,1,0,0,,,C3-11,,8.002277778,,8.002277778
boardsketch,direct,Preparation,10008,1,Test board,1,1.24,1.24,,,C3-12,,8.369416667,,8.369416667
boardsketch,direct,Preparation,10008,2,Unwrap board & fix with 2 screws each board on plate,1,0.72,0.72,,,C3-2,,4.705833333,,4.705833333
boardsketch,direct,Preparation,10008,3,Put plastic washer on screw,1,0.4,0.4,,,C3-3,,5.627972222,,5.627972222
boardsketch,direct,Preparation,10008,4,Place plate of 2 boards on bottom of housing,1,0,0,,,C3-4,,6.550111111,,6.550111111
boardsketch,direct,Preparation,10008,5,Place plate of 3 boards on bottom of housing,1,0.58,0.58,,,C3-5,,7.47225,,7.47225
boardsketch,direct,Preparation,10008,6,Plug jumpers between boards,1,0,0,,,C3-6,,7.839388889,,7.839388889
boardsketch,direct,Preparation,10013,1,Test board,1,3.1,3.1,,,C3-7,,4.313722222,,4.313722222
boardsketch,direct,Preparation,10013,2,Unwrap board & fix with 2 screws each board on plate,1,1.8,1.8,,,C3-8,,5.235861111,,5.235861111
boardsketch,direct,Preparation,10013,3,Put plastic washer on screw,1,1,1,,,C3-9,,6.158,,6.158
boardsketch,direct,Preparation,10013,4,Place plate of 2 boards on bottom of housing,1,0.72,0.72,,,C4-1,,1.980777778,,1.980777778
boardsketch,direct,Preparation,10013,5,Place plate of 3 boards on bottom of housing,1,0.58,0.58,,,C4-2,,3.065805556,,3.065805556
boardsketch,direct,Preparation,10013,6,Plug jumpers between boards,1,1.2,1.2,,,C4-3,,3.595833333,,3.595833333
boardsketch,direct,Preparation,10018,1,Test board,1,4.34,4.34,,,C5-1,,2.143666667,,2.143666667
boardsketch,direct,Preparation,10018,2,Unwrap board & fix with 2 screws each board on plate,1,2.52,2.52,,,C5-2,,2.836583333,,2.836583333
boardsketch,direct,Preparation,10018,3,Put plastic washer on screw,1,1.4,1.4,,,C6-1,,2.143666667,,2.143666667
boardsketch,direct,Preparation,10018,4,Place plate of 2 boards on bottom of housing,1,0,0,,,C6-2,,2.836583333,,2.836583333
boardsketch,direct,Preparation,10018,5,Place plate of 3 boards on bottom of housing,1,1.16,1.16,,,C7-1,,2.673694444,,2.673694444
boardsketch,direct,Preparation,10018,6,Plug jumpers between boards,1,2,2,,,C7-2,,3.758722222,,3.758722222
boardsketch,direct,Preparation,10023,1,Test board,1,3.72,3.72,,,direct/indirect,,,,
boardsketch,direct,Preparation,10023,2,Unwrap board & fix with 2 screws each board on plate,1,2.16,2.16,,,4,2.08,,2.34,4.42
boardsketch,direct,Preparation,10023,3,Put plastic washer on screw,1,1.2,1.2,,,8,2.6,,4.68,7.28
