Product ID,Work Center,Length,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,,,,,,,,,,,
B6R,Assembly,4,1,Add extra gaskets,0.93,,Row Labels,4,8,12,10003,10005,10008,10013,10018,10023,11,14,22,24,Grand Total
B6R,Assembly,8,1,Add extra gaskets,0.93,,B6R,5.93,8.93,12.93,,,,,,,,,,,27.79
B6R,Assembly,12,1,Add extra gaskets,0.93,,B6RLED,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RLED,Assembly,4,1,Add extra gaskets,0.93,,B6RLEDPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RLED,Assembly,8,1,Add extra gaskets,0.93,,B6RPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RLED,Assembly,12,1,Add extra gaskets,0.93,,B6RV,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RLEDPAT,Assembly,4,1,Add extra gaskets,0.93,,B6RVLED,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RLEDPAT,Assembly,8,1,Add extra gaskets,0.93,,BBR,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RLEDPAT,Assembly,12,1,Add extra gaskets,0.93,,BBRLED,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RPAT,Assembly,4,1,Add extra gaskets,0.93,,BBRLEDPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RPAT,Assembly,8,1,Add extra gaskets,0.93,,BBRPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RPAT,Assembly,12,1,Add extra gaskets,0.93,,BBRV,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RV,Assembly,4,1,Add extra gaskets,0.93,,BBRVLED,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RV,Assembly,8,1,Add extra gaskets,0.93,,BMR,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RV,Assembly,12,1,Add extra gaskets,0.93,,BMRLED,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RVLED,Assembly,4,1,Add extra gaskets,0.93,,BMRLEDPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RVLED,Assembly,8,1,Add extra gaskets,0.93,,BMRPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
B6RVLED,Assembly,12,1,Add extra gaskets,0.93,,BMRV,5.93,8.93,12.93,,,,,,,,,,,27.79
BBR,Assembly,4,1,Add extra gaskets,0.93,,BMRVLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BBR,Assembly,8,1,Add extra gaskets,0.93,,BR,5.93,8.93,12.93,,,,,,,,,,,27.79
BBR,Assembly,12,1,Add extra gaskets,0.93,,BRLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BBRLED,Assembly,4,1,Add extra gaskets,0.93,,BRLEDPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
BBRLED,Assembly,8,1,Add extra gaskets,0.93,,BRPAT,5.93,8.93,12.93,,,,,,,,,,,27.79
BBRLED,Assembly,12,1,Add extra gaskets,0.93,,BRV,5.93,8.93,12.93,,,,,,,,,,,27.79
BBRLEDPAT,Assembly,4,1,Add extra gaskets,0.93,,BRVLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BBRLEDPAT,Assembly,8,1,Add extra gaskets,0.93,,DAYC,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRLEDPAT,Assembly,12,1,Add extra gaskets,0.93,,DAYCLED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRPAT,Assembly,4,1,Add extra gaskets,0.93,,DAYF,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRPAT,Assembly,8,1,Add extra gaskets,0.93,,DAYFLED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRPAT,Assembly,12,1,Add extra gaskets,0.93,,DIA,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRV,Assembly,4,1,Add extra gaskets,0.93,,DIALED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRV,Assembly,8,1,Add extra gaskets,0.93,,DUO,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRV,Assembly,12,1,Add extra gaskets,0.93,,PO,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRVLED,Assembly,4,1,Add extra gaskets,0.93,,POLED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BBRVLED,Assembly,8,1,Add extra gaskets,0.93,,RAY3,5.93,8.93,12.93,,,,,,,,,,,27.79
BBRVLED,Assembly,12,1,Add extra gaskets,0.93,,RAY4,5.93,8.93,12.93,,,,,,,,,,,27.79
BMR,Assembly,4,1,Add extra gaskets,0.93,,RAY6,5.93,8.93,12.93,,,,,,,,,,,27.79
BMR,Assembly,8,1,Add extra gaskets,0.93,,RAY8,5.93,8.93,12.93,,,,,,,,,,,27.79
BMR,Assembly,12,1,Add extra gaskets,0.93,,SCAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRLED,Assembly,4,1,Add extra gaskets,0.93,,SCDLAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRLED,Assembly,8,1,Add extra gaskets,0.93,,SCI,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRLED,Assembly,12,1,Add extra gaskets,0.93,,SCILAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRLEDPAT,Assembly,4,1,Add extra gaskets,0.93,,SCR,0.93,0.93,0.93,,,,,,,,,,,2.79
BMRLEDPAT,Assembly,8,1,Add extra gaskets,0.93,,SCRAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRLEDPAT,Assembly,12,1,Add extra gaskets,0.93,,SCRLAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRPAT,Assembly,4,1,Add extra gaskets,0.93,,SCRPAT,0.93,0.93,0.93,,,,,,,,,,,2.79
BMRPAT,Assembly,8,1,Add extra gaskets,0.93,,SCRV,0.93,0.93,0.93,,,,,,,,,,,2.79
BMRPAT,Assembly,12,1,Add extra gaskets,0.93,,SCSAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRV,Assembly,4,1,Add extra gaskets,0.93,,SCSLAC,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRV,Assembly,8,1,Add extra gaskets,0.93,,SCWI,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRV,Assembly,12,1,Add extra gaskets,0.93,,SK,,,,23.3,23.99,24.55,24.42,24.42,24.42,,,,,145.1
BMRVLED,Assembly,4,1,Add extra gaskets,0.93,,SKPLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRVLED,Assembly,8,1,Add extra gaskets,0.93,,SKSLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRVLED,Assembly,12,1,Add extra gaskets,0.93,,SKVLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BR,Assembly,4,1,Add extra gaskets,0.93,,TEK12,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BR,Assembly,8,1,Add extra gaskets,0.93,,TEK12LED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BR,Assembly,12,1,Add extra gaskets,0.93,,TEK6,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLED,Assembly,4,1,Add extra gaskets,0.93,,TEK6LED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLED,Assembly,8,1,Add extra gaskets,0.93,,WA,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLED,Assembly,12,1,Add extra gaskets,0.93,,WALED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLEDPAT,Assembly,4,1,Add extra gaskets,0.93,,WBR,5.93,8.93,12.93,,,,,,,,,,,27.79
BRLEDPAT,Assembly,8,1,Add extra gaskets,0.93,,WBRLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BRLEDPAT,Assembly,12,1,Add extra gaskets,0.93,,Grand Total,251.85,377.85,634.8,23.3,23.99,24.55,24.42,24.42,24.42,88.95,133.95,193.95,193.95,2020.4
BRPAT,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRPAT,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRPAT,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRV,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRV,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRV,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRVLED,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRVLED,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRVLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
