 Product ID , Work Center , ID , Task , Time (min) ,,, Sum of Time (min) , Column Labels ,,,,
101C,Hacksaw,1,place 2 rods & tight in jig,0.18,,, Row Labels , Hacksaw , Preparation , Assembly , Grand Total ,
101C,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 101C ,1.56,0.35,,1.91,
101CA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 101CA ,1.56,0.35,,1.91,
101CA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 101CS ,1.56,0.35,,1.91,
101CS,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 101CW ,1.56,0.35,,1.91,
101CS,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 101CWA ,1.56,0.35,,1.91,
101CW,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 101F ,1.56,0.35,,1.91,
101CW,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 101FA ,1.56,0.35,,1.91,
101CWA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 101FW ,1.56,0.35,,1.91,
101CWA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 101FWA ,1.56,0.35,,1.91,
101F,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 202C ,1.56,0.35,,1.91,
101F,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 202CA ,1.56,0.35,,1.91,
101FA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 202CS ,1.56,0.35,,1.91,
101FA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 202CW ,1.56,0.35,,1.91,
101FW,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 202CWA ,1.56,0.35,,1.91,
101FW,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 202F ,1.56,0.35,,1.91,
101FWA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 202FA ,1.56,0.35,,1.91,
101FWA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, 202FW ,1.56,0.35,,1.91,
202C,Hacksaw,1,place 2 rods & tight in jig,0.18,,, 202FWA ,1.56,0.35,,1.91,
202C,Hacksaw,2,Saw 2 rods (machine time),1.375,,, ARC ,1.56,0.35,,1.91,
202CA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, ARCA ,1.56,0.35,,1.91,
202CA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, ARCW ,1.56,0.35,,1.91,
202CS,Hacksaw,1,place 2 rods & tight in jig,0.18,,, ARCWA ,1.56,0.35,,1.91,
202CS,Hacksaw,2,Saw 2 rods (machine time),1.375,,, BAS ,1.56,0.35,,1.91,
202CW,Hacksaw,1,place 2 rods & tight in jig,0.18,,, BASA ,1.56,0.35,,1.91,
202CW,Hacksaw,2,Saw 2 rods (machine time),1.375,,, BASS ,1.56,0.35,,1.91,
202CWA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, BASW ,1.56,0.35,,1.91,
202CWA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, BASWA ,1.56,0.35,,1.91,
202F,Hacksaw,1,place 2 rods & tight in jig,0.18,,, BDI ,1.56,0.35,,1.91,
202F,Hacksaw,2,Saw 2 rods (machine time),1.375,,, BMI ,1.56,0.35,,1.91,
202FA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, BMILED ,1.56,0.35,,1.91,
202FA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, BMILEDPAT ,1.56,0.35,,1.91,
202FW,Hacksaw,1,place 2 rods & tight in jig,0.18,,, BMIPAT ,1.56,0.35,,1.91,
202FW,Hacksaw,2,Saw 2 rods (machine time),1.375,,, CU ,1.56,0.35,,1.91,
202FWA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, CUA ,1.56,0.35,,1.91,
202FWA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, CUB ,1.56,0.35,,1.91,
ARC,Hacksaw,1,place 2 rods & tight in jig,0.18,,, CUBA ,1.56,0.35,,1.91,
ARC,Hacksaw,2,Saw 2 rods (machine time),1.375,,, CUBS ,1.56,0.35,,1.91,
ARCA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, CUBW ,1.56,0.35,,1.91,
ARCA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, CUBWA ,1.56,0.35,,1.91,
ARCW,Hacksaw,1,place 2 rods & tight in jig,0.18,,, CUS ,1.56,0.35,,1.91,
ARCW,Hacksaw,2,Saw 2 rods (machine time),1.375,,, CUW ,1.56,0.35,,1.91,
ARCWA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, CUWA ,1.56,0.35,,1.91,
ARCWA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, FL ,3.11,0.70,,3.81,
BAS,Hacksaw,1,place 2 rods & tight in jig,0.18,,, FLW ,3.11,0.70,,3.81,
BAS,Hacksaw,2,Saw 2 rods (machine time),1.375,,, L2 ,1.56,0.35,,1.91,
BASA,Hacksaw,1,place 2 rods & tight in jig,0.18,,, L2A ,1.56,0.35,,1.91,
BASA,Hacksaw,2,Saw 2 rods (machine time),1.375,,, L2S ,1.56,0.35,,1.91,
BASS,Hacksaw,1,place 2 rods & tight in jig,0.18,,, L2W ,1.56,0.35,,1.91,
BASS,Hacksaw,2,Saw 2 rods (machine time),1.375,,, L2WA ,1.56,0.35,,1.91,
BASW,Hacksaw,1,place 2 rods & tight in jig,0.18,,, LT ,1.56,0.35,,1.91,
BASW,Hacksaw,2,Saw 2 rods (machine time),1.375,,, LTA ,1.56,0.35,,1.91,
