,Length,Complete Section,Cartridge 1,Cartridge 2,Cartridge 3,,Length (feet),SR1,SRM,SRE,Cartridge 1 SR1,Cartridge 2 SR1,Cartridge 3 SR1,Cartridge 1 SRM,Cartridge 2 SRM,Cartridge 3 SRM,Cartridge 1 SRE,Cartridge 2 SRE,Cartridge 3 SRE,,Wires Qty,,,System Run Circuit,,,,,,Ballast/Driver Qty,,,,,,,,,,,,,,,,,,,,
,1,1,C4-1,,,,13,8,0,5,C6-2,C6-2,,,,,C4-3,C1-6,,,Ballast Driver,Wires Qty,,Circuit,Complete Section,SR1,SRM,SRE,,Complete Section,leddirect18,,,,,,,,,Mounting,,Driver,,Circuit,,Optic,,Controls,,Section Type
,2,2,C6-1,,,,14,8,0,6,C6-2,C6-2,,,,,C6-2,C6-1,,,BI,4,,1,1,1,1,1,,,,,,,,,,,,-,,BI,,1,,2XVL,,DOS,,Circle Pattern
,3,3,C7-1,,,,15,8,0,7,C6-2,C6-2,,,,,C1-17,C1-11,,,E,3,,E,E,1,1,E,,SR1,,SRM,,SRE,,,,,,CA,,DP,,2,,1.5M,,DS,,Rectangle Pattern
,4,4,C6-2,,,,16,8,0,8,C6-2,C6-2,,,,,C6-2,C6-2,,,ERS,3,,NL,NL,1,1,NL,,,,Circuit,Length,Lamps Qty,Concatenated Info,Ballast/Driver,,,,CASL,,MD,,2A/B,,0.5M,,DS+OS,,Other Shape Pattern
,5,5,C4-3,C1-6,,,17,12,0,5,C6-2,C6-2,,,,,C4-3,C7-2,C1-7,,D,5,,E(1),E(1),1,1,E(1),,led,direct,1,4,,leddirect14,1,,,,CASM,,D,,,,0.5P,,OS,,
,6,6,C5-2,C6-1,,,18,12,0,6,C6-2,C6-2,,,,,C6-2,C6-2,C6-1,,LT,6,,NL(1),NL(1),1,1,NL(1),,led,direct,1,8,,leddirect18,2,,,,CT15,,E,,,,2M,,,,
,7,7,C6-2,C7-1,,,19,12,0,7,C6-2,C6-2,,,,,C1-21,C7-2,C2-3,,DP,5,,2,2,2,2,2,,led,direct,1,12,,leddirect112,3,,,,CT9,,ERS,,,,2P,,,,
,8,8,C6-2,C6-2,,,20,12,0,8,C6-2,C6-2,C6-2,,,,C6-2,C6-2,,,MD,5,,1+E,1+E,1,1,1+E,,led,indirect,1,4,,ledindirect14,1,,,,CTS,,LT,,,,A,,,,
,9,9,C4-3,C6-2,C1-6,,21,12,0,9,C6-2,C6-2,C6-2,,,,C4-3,C7-2,C1-7,,,,,1+E(1),1+E(1),1,1,1+E,,led,indirect,1,8,,ledindirect18,2,,,,CTSSM,,,,,,ASO,,,,
,10,10,C5-2,C6-2,C6-1,,22,12,0,10,C6-2,C6-2,C6-2,,,,C6-2,C6-2,C6-1,,,,,1+E(2),1+E(2),1+E,1,1+E,,led,indirect,1,12,,ledindirect112,3,,,,D,,,,,,AV,,,,
,11,11,C1-17,C7-2,C3-8,,23,12,0,11,C6-2,C6-2,C6-2,,,,C1-21,C7-2,C2-3,,,,,1+NL,1+NL,1,1,1+NL,,led,direct/indirect,1,4,,leddirect/indirect14,2,,,,DB,,,,,,B,,,,
,12,12,C6-2,C6-2,C6-2,,24,12,0,12,C6-2,C6-2,C6-2,,,,C6-2,C6-2,C6-2,,,,,1+NL(1),1+NL(1),1,1,1+NL,,led,direct/indirect,1,8,,leddirect/indirect18,4,,,,DF,,,,,,BC,,,,
,,,,,,,25,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,1+NL(2),1+NL(2),1+NL,1,1+NL,,led,direct/indirect,1,12,,leddirect/indirect112,6,,,,DS,,,,,,C,,,,
,,,,,,,26,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,2A/B,2A/B,2A/B,2A/B,2A/B,,led,direct,2,4,,leddirect24,2,,,,MFTB15,,,,,,F,,,,
,,,,,,,27,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,led,direct,2,8,,leddirect28,4,,,,MFTB9,,,,,,FL,,,,
,,,,,,,28,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,led,direct,2,12,,leddirect212,3,,,,MFTG15,,,,,,NO,,,,
,,,,,,,29,8,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,led,indirect,2,4,,ledindirect24,2,,,,MFTG9,,,,,,P,,,,
,,,,,,,30,10,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,led,indirect,2,8,,ledindirect28,2,,,,S,,,,,,PL,,,,
,,,,,,,31,11,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,led,indirect,2,12,,ledindirect212,3,,,,SA,,,,,,RG,,,,
,,,,,,,32,12,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,led,direct/indirect,2,4,,leddirect/indirect24,2,,,,SB,,,,,,S,,,,
,,,,,,,33,12,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C7-2,C1-7,,,,,,,,,,,led,direct/indirect,2,8,,leddirect/indirect28,4,,,,SC,,,,,,SB,,,,
,,,,,,,34,12,12,10,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,led,direct/indirect,2,12,,leddirect/indirect212,6,,,,SM,,,,,,SE,,,,
,,,,,,,35,12,12,11,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-21,C7-2,C2-3,,,,,,,,,,,led,direct,2A/B,4,,leddirect2A/B4,2,,,,ST,,,,,,SL,,,,
