Circuit Option,Fixture Type,Work Center,Option,ID,Task,Time(min),,Row Labels,Sum of Time(min)
E,Grid,Punch,emergencyr,1,punch 2sd exit hole,0.38,,pendant,5.33
E,Grid,Assembly,emergencyr,2,pass power wires into sleeve,0.5,,Assembly,3.28
E,Grid,Assembly,emergencyr,3,bring wires to exit#2,0.1,,Punch,0.05
E,Grid,Assembly,emergencyr,4,identify wires circuits,0.15,,Subassembly Wires,2
E,Grid,Assembly,emergencyr,5,operational test : emergency section,0.2,,recessed,1.33
E,Grid LED,Punch,emergencyr,1,punch 2sd exit hole,0.38,,Assembly,0.95
E,Grid LED,Assembly,emergencyr,2,pass power wires into sleeve,0.5,,Punch,0.38
E,Grid LED,Assembly,emergencyr,3,bring wires to exit#2,0.1,,surface,5.33
E,Grid LED,Assembly,emergencyr,4,identify wires circuits,0.15,,Assembly,3.28
E,Grid LED,Assembly,emergencyr,5,operational test : emergency section,0.2,,Punch,0.05
E,pendant,Punch,emergency,1,extra time to drill 2sd power hole in housing,0.05,,Subassembly Wires,2
E,pendant,Subassembly Wires,emergency,2,preparation 2sd power cord,2,,wall,5.33
E,pendant,Assembly,emergency,3,pass power wires into sleeve,1.58,,Assembly,3.28
E,pendant,Assembly,emergency,4,bring wires to exit#2,0.1,,Punch,0.05
E,pendant,Assembly,emergency,5,"plug 2sd power cord with wago connectors, screw to housing with plastic clamp (ERS & E ballast)",1.25,,Subassembly Wires,2
E,pendant,Assembly,emergency,6,identify wires circuits,0.15,,Grid,1.33
E,pendant,Assembly,emergency,7,operational test : emergency section,0.2,,Assembly,0.95
E,recessed,Punch,emergencyr,1,punch 2sd exit hole,0.38,,Punch,0.38
E,recessed,Assembly,emergencyr,2,pass power wires into sleeve,0.5,,Grid LED,1.33
E,recessed,Assembly,emergencyr,3,bring wires to exit#2,0.1,,Assembly,0.95
E,recessed,Assembly,emergencyr,4,identify wires circuits,0.15,,Punch,0.38
E,recessed,Assembly,emergencyr,5,operational test : emergency section,0.2,,Grand Total,19.98
E,surface,Punch,emergency,1,extra time to drill 2sd power hole in housing,0.05,,,
E,surface,Subassembly Wires,emergency,2,preparation 2sd power cord,2,,,
E,surface,Assembly,emergency,3,pass power wires into sleeve,1.58,,,
E,surface,Assembly,emergency,4,bring wires to exit#2,0.1,,,
E,surface,Assembly,emergency,5,"plug 2sd power cord with wago connectors, screw to housing with plastic clamp (ERS & E ballast)",1.25,,,
E,surface,Assembly,emergency,6,identify wires circuits,0.15,,,
E,surface,Assembly,emergency,7,operational test : emergency section,0.2,,,
E,wall,Punch,emergency,1,extra time to drill 2sd power hole in housing,0.05,,,
E,wall,Subassembly Wires,emergency,2,preparation 2sd power cord,2,,,
E,wall,Assembly,emergency,3,pass power wires into sleeve,1.58,,,
E,wall,Assembly,emergency,4,bring wires to exit#2,0.1,,,
E,wall,Assembly,emergency,5,"plug 2sd power cord with wago connectors, screw to housing with plastic clamp (ERS & E ballast)",1.25,,,
E,wall,Assembly,emergency,6,identify wires circuits,0.15,,,
E,wall,Assembly,emergency,7,operational test : emergency section,0.2,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
