 Product ID , Work Center , Option , ID , Task ,Time (min),,,Sum of Time (min),Column Labels,,
BD,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,Row Labels,Assembly,Preparation,Grand Total
BDLED,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101C,1.25,0.32,1.57
BDLEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101CA,1.25,0.32,1.57
BDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101CS,1.25,0.32,1.57
BI,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101CW,1.25,0.32,1.57
BILED,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101CWA,1.25,0.32,1.57
BILEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101F,1.25,0.32,1.57
BIPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101FA,1.25,0.32,1.57
BLEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101FW,1.25,0.32,1.57
BS,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,101FWA,1.25,0.32,1.57
BSLED,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202C,1.25,0.32,1.57
BSLEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202CA,1.25,0.32,1.57
BSPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202CS,1.25,0.32,1.57
BWD,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202CW,1.25,0.32,1.57
BWDLED,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202CWA,1.25,0.32,1.57
BWDLEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202F,1.25,0.32,1.57
BWDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202FA,1.25,0.32,1.57
BWI,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202FW,1.25,0.32,1.57
BWILED,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202FWA,1.25,0.32,1.57
BWILEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202LED,1.25,0.32,1.57
BWIPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,202WLED,1.25,0.32,1.57
BWLEDPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,AR,0.52,,0.52
BWPAT,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,ARC,1.25,0.32,1.57
BWV,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,ARCA,1.25,0.32,1.57
BWVLED,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,ARCLED,1.25,0.32,1.57
SCD,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,ARCW,1.25,0.32,1.57
SCDI,Assembly,aendcap1,1,Assy end cap with 2 pins on housing,0.23,,,ARCWA,1.25,0.32,1.57
