 Fixture Type , Work Center , Option , ID , Task ,Time(min),, Sum of Time(min) , Column Labels ,,,
 pendant , Assembly , endfoptionepws , CAD 3.00 , get out power wires  ,0.15,, Row Labels , Assembly , Drill , Preparation , Grand Total 
 pendant , Drill , endfoptionepws , CAD 1.00 , drill hole in end cap ,1.37,, pendant ,0.15,1.37,0.08,1.60
 pendant , Preparation , endfoptionepws , CAD 2.00 , press bushing into hole in end cap ,0.08,, recessed ,0.30,,,0.30
 recessed , Assembly , endfoption1 , CAD 1.00 ," Punch knock-out on end plate, get out power wires ",0.30,, surface ,0.15,1.37,0.08,1.60
 surface , Assembly , endfoptionepws , CAD 3.00 , get out power wires  ,0.15,, wall ,0.15,1.37,0.08,1.60
 surface , Drill , endfoptionepws , CAD 1.00 , drill hole in end cap ,1.37,, Grand Total ,0.75,4.11,0.24,5.10
 surface , Preparation , endfoptionepws , CAD 2.00 , press bushing into hole in end cap ,0.08,,,,,,
 wall , Assembly , endfoptionepws , CAD 3.00 , get out power wires  ,0.15,,,,,,
 wall , Drill , endfoptionepws , CAD 1.00 , drill hole in end cap ,1.37,,,,,,
 wall , Preparation , endfoptionepws , CAD 2.00 , press bushing into hole in end cap ,0.08,,,,,,
