 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) ,,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,1,bring exit wires to exit#1,0.15,,,SR1,,,,SR1 Total,SRE,,,,SRE Total,SRM,,,,SRM Total,Complete Section,,,,Complete Section Total,-,,,,- Total,Grand Total,
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,2,bring power wires for continious row,0,,Row Labels,3,4,5,6,,3,4,5,6,,3,4,5,6,,3,4,5,6,,3,4,5,6,,,
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,3,plug 4x pc252 connectors for continius row wires,0,,1,11.28,6.51,17.71,17.46,52.96,0.8,0.4,0.9,0.8,2.9,3.04,1.76,4.85,4.48,14.13,9.04,5.15,13.76,13.78,41.73,0.6,0.3,0.6,0.3,1.8,113.52,
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,pendant,3.7,2.12,7.41,2.82,16.05,0.2,0.1,0.3,0.1,0.7,0.76,0.44,1.65,0.56,3.41,3.14,1.78,6.06,2.36,13.34,,,,,,33.5,
Complete Section,pendant,1,BI,Assembly,4,ewdbi1p,5,turn power cord,0.17,,D,,,2.47,,2.47,,,0.1,,0.1,,,0.55,,0.55,,,2.02,,2.02,,,,,,5.14,
SR1,pendant,1,BI,Assembly,4,ewdbi1p,1,bring exit wires to exit#1,0.15,,E,1.85,,,,1.85,0.1,,,,0.1,0.38,,,,0.38,1.57,,,,1.57,,,,,,3.9,
SR1,pendant,1,BI,Assembly,4,ewdbi1p,2,bring power wires for continious row,0.1,,ERS,1.85,,,,1.85,0.1,,,,0.1,0.38,,,,0.38,1.57,,,,1.57,,,,,,3.9,
SR1,pendant,1,BI,Assembly,4,ewdbi1p,3,plug 4x pc252 connectors for continius row wires,0.24,,BI,,2.12,,,2.12,,0.1,,,0.1,,0.44,,,0.44,,1.78,,,1.78,,,,,,4.44,
SR1,pendant,1,BI,Assembly,4,ewdbi1p,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,LT,,,,2.82,2.82,,,,0.1,0.1,,,,0.56,0.56,,,,2.36,2.36,,,,,,5.84,
SR1,pendant,1,BI,Assembly,4,ewdbi1p,5,turn power cord,0.17,,MD,,,2.47,,2.47,,,0.1,,0.1,,,0.55,,0.55,,,2.02,,2.02,,,,,,5.14,
