 Product ID , Option , Section Type , Work Center , Task , Qty , Time (min) , Total Time (min) ,, Sum of Total Time (min) , Column Labels ,,,,,
101C,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Row Labels , Assembly , Subassembly Hangers , Grand Total ,,,
101C,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, 101C ,3.90,3.00,6.90,,,
101C,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,1.30,1.00,2.30,,,
101C,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.65,0.50,1.15,,,
101CA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.65,0.50,1.15,,,
101CA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,1.30,1.00,2.30,,,
101CA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, 101CA ,3.90,3.00,6.90,,,
101CA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,1.30,1.00,2.30,,,
101F,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.65,0.50,1.15,,,
101F,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.65,0.50,1.15,,,
101F,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,1.30,1.00,2.30,,,
101F,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, 101F ,3.90,3.00,6.90,,,
101FA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.30,1.00,2.30,,,
101FA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.65,0.50,1.15,,,
101FA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.65,0.50,1.15,,,
101FA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,1.30,1.00,2.30,,,
202C,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, 101FA ,3.90,3.00,6.90,,,
202C,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.30,1.00,2.30,,,
202C,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.65,0.50,1.15,,,
202C,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.65,0.50,1.15,,,
202CA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,1.30,1.00,2.30,,,
