Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,,,Sum of Time(min),Column Labels,,,
AR,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,Row Labels,Single Saw,Drill,Preparation,Grand Total
ARLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,101C,,,0.6,0.6
ARS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,101CA,,,0.6,0.6
ARSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,101CS,,,0.6,0.6
ARW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,101CW,,,0.6,0.6
ARWBT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,101CWA,,,0.6,0.6
ARWBTLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,101F,,,0.6,0.6
ARWLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,101FA,,,0.6,0.6
B6,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,101FW,,,0.6,0.6
B6D,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,101FWA,,,0.6,0.6
B6DLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,202C,,,0.6,0.6
B6DLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,202CA,,,0.6,0.6
B6DPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,202CS,,,0.6,0.6
B6I,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,202CW,,,0.6,0.6
B6ILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,202CWA,,,0.6,0.6
B6IPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,202F,,,0.6,0.6
B6LEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,202FA,,,0.6,0.6
B6PAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,202FW,,,0.6,0.6
B6S,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,202FWA,,,0.6,0.6
B6SLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,202LED,,,0.6,0.6
B6SLEDPAT,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,202WLED,,,0.6,0.6
B6SPAT,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,AR,,0.88,,0.88
B6W,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARC,,,0.6,0.6
B6WD,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARCA,,,0.6,0.6
B6WDLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ARCLED,,,0.6,0.6
B6WDLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ARCW,,,0.6,0.6
B6WDPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARCWA,,,0.6,0.6
B6WI,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARCWLED,,,0.6,0.6
B6WILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ARLED,,0.5,,0.5
B6WIPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARS,,0.88,,0.88
B6WLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ARSLED,,0.5,,0.5
B6WPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARW,,0.88,,0.88
BB,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARWBT,,0.88,,0.88
BBD,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ARWBTLED,,0.5,,0.5
BBDILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ARWLED,,0.5,,0.5
BBDILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6,,0.88,,0.88
BBDLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6D,,0.88,,0.88
