 Product ID , Description , Packaging , Work Center , Option , Length , ID , Task , Time (min) ,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,3,bring product to station,0.1,,Assembly,,,,,,,,,,,,,,Assembly Total,Packaging,,,,,,,,,,,,Packaging Total,Grand Total
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,4,dielectric test,0.3,Row Labels,4,8,12,10003,10005,10008,10013,10018,10023,11,14,22,24,44,,4,8,12,10003,10005,10008,10013,10018,10023,14,22,24,,
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,5,clean ,0.48,101C,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,6,Apply sillicone both sides on 1st end,0.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,7,wipe & rub surplus,0.29,101CA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,8,manipulations,0.09,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,9,change side of palet,0.02,101CS,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,10,Apply sillicone both sides on 2sd end,0.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,11,wipe & rub surplus,0.29,101CW,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,12,take off one label type from housing & stick on end carton,0.35,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,13,put end carton,0.31,101CWA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,14,middle pad (1),0.26,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,15,put end carton,0.24,101F,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,4,16,bring to palet,0.31,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
