Section,Kind of Ballast/Driver,Circuit,B/D Qty,Wires Qty,Work Center,Option,Length,ID,Task,Unit Time (min),Qty,Total Time (min)
Complete Section,BI,1,1,4,Assembly,pcswcsbi11,4,1,bring power wires to main exit,0.1,1,0.1
Complete Section,BI,1,1,4,Assembly,pcswcsbi11,4,2,extra time to passing wires for XO housing,0.03,1,0.03
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,4,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,4,3,bring power wires to main exit,0.1,1,0.1
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,4,4,extra time to passing wires for XO housing,0.57,1,0.57
Complete Section,BI,1,1,4,Assembly,pcswcsbi11,8,1,bring power wires to main exit,0.15,1,0.15
Complete Section,BI,1,1,4,Assembly,pcswcsbi11,8,2,extra time to passing wires for XO housing,0.04,1,0.04
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,8,3,bring power wires to main exit,0.15,1,0.15
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,8,4,extra time to passing wires for XO housing,0.6,1,0.6
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,1,plug connector on each 4 wires of 1 ballast,0.24,1,0.24
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,3,bring power wires to main exit,0.1,1,0.1
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,4,bring wires to exit for system-run,0.1,1,0.1
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,5,extra time to passing wires for XO housing,0.39,1,0.39
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,3,bring power wires to main exit,0.1,1,0.1
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,4,bring wires to exit for system-run,0.1,1,0.1
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,5,extra time to passing wires for XO housing,0.9,1,0.9
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,1,plug connector on each 4 wires of 1 ballast,0.24,4,0.96
