 Product ID , Lighting , Fixture ,  CAD 3.00  , Description , Cartridge/Board , Pattern 
 101C , fluorescent , LIGHT , pendant , direct ,,
 101CA , fluorescent , LIGHT , pendant , direct ,,
 101CS , fluorescent , LIGHT , surface , direct ,,
 101CW , fluorescent , LIGHT , wall , direct ,,
 101CWA , fluorescent , LIGHT , wall , direct ,,
 101F , fluorescent , LIGHT , pendant , direct ,,
 101FA , fluorescent , LIGHT , pendant , direct ,,
 101FW , fluorescent , LIGHT , wall , direct ,,
 101FWA , fluorescent , LIGHT , wall , direct ,,
 202C , fluorescent , LIGHT , pendant , direct ,,
 202CA , fluorescent , LIGHT , pendant , direct ,,
 202CS , fluorescent , LIGHT , surface , direct ,,
 202CW , fluorescent , LIGHT , wall , direct ,,
 202CWA , fluorescent , LIGHT , wall , direct ,,
 202F , fluorescent , LIGHT , pendant , direct ,,
 202FA , fluorescent , LIGHT , pendant , direct ,,
 202FW , fluorescent , LIGHT , wall , direct ,,
 202FWA , fluorescent , LIGHT , wall , direct ,,
 202LED , led , Light ,pendant, direct ,Cartridge,
 202WLED , led , Light ,wall, direct ,Cartridge,
 AR , fluorescent , AIR , pendant , direct ,,
 ARC , fluorescent , ARC , pendant , direct ,,
 ARCA , fluorescent , ARC , pendant , direct ,,
 ARCLED , led , Arc ,pendant, direct ,Cartridge,
 ARCW , fluorescent , ARC , wall , direct ,,
 ARCWA , fluorescent , ARC , wall , direct ,,
 ARCWLED , led , Arc ,wall, direct ,Cartridge,
 ARLED , led , AIRLED , pendant , direct , cartridge ,
 ARS , fluorescent , AIR , surface , direct ,,
 ARSLED , led , AIRLED , surface , direct , cartridge ,
 ARW , fluorescent , AIR , wall , direct ,,
 ARWBT , fluorescent , AIR , wall , direct ,,
 ARWBTLED , led , AIRLED , wall , direct , cartridge ,
 ARWLED , led , AIRLED , wall , direct , cartridge ,
 ARWLEDBT , led , Air ,wall, direct ,Cartridge,
 AULED , led , Aura , Grid , direct , boardgrid ,
B2SQDLED, led , B2S ,pendant, direct , cartridge ,
B2SQILED, led , B2S ,pendant, indirect , cartridge ,
B2SQSLED, led , B2S ,surface, direct , cartridge ,
B2SQWDLED, led , B2S ,wall, direct , cartridge ,
B2SQWILED, led , B2S ,wall, indirect , cartridge ,
 B3RLED , led , B3S , recessed , direct ,,
 B6 , fluorescent , BEAM6 , pendant , direct/indirect ,,
 B6D , fluorescent , BEAM6 , pendant , direct ,,
 B6DILED , led , B6LED , Pendant , direct/indirect , cartridge ,
 B6DLED , led , B6LED , pendant , direct , cartridge ,
 B6DLEDPAT , led , B6LED , pendant , direct , cartridge , Yes 
 B6DPAT , fluorescent , BEAM6 , pendant , direct ,, Yes 
 B6I , fluorescent , BEAM6 , pendant , indirect ,,
 B6ILED , led , B6LED , pendant , indirect ,,
 B6ILEDPAT , led , B6LED , pendant , indirect , cartridge , Yes 
 B6IPAT , fluorescent , BEAM6 , pendant , indirect ,, Yes 
 B6LEDPAT , led , B6LED , pendant , direct/indirect , cartridge , Yes 
 B6PAT , fluorescent , BEAM6 , pendant , direct/indirect ,, Yes 
 B6PRLED , led , B6LED , recessed , direct , cartridge ,
 B6R , fluorescent , BEAM6 , recessed , direct ,,
 B6RLED , led , B6LED , recessed , direct , cartridge ,
 B6RLEDPAT , led , B6LED , recessed , direct , cartridge , Yes 
 B6RPAT , fluorescent , BEAM6 , recessed , direct ,, Yes 
 B6RV , fluorescent , BEAM6 , recessed , direct ,,
 B6RVLED , led , B6LED , recessed , direct , cartridge ,
 B6S , fluorescent , BEAM6 , surface , direct ,,
 B6SLED , led , B6LED , surface , direct , cartridge ,
 B6SLEDPAT , led , B6LED , surface , direct , cartridge , Yes 
 B6SPAT , fluorescent , BEAM6 , surface , direct ,, Yes 
 B6W , fluorescent , BEAM6 , wall , direct/indirect ,,
 B6WD , fluorescent , BEAM6 , wall , direct ,,
 B6WDLED , led , B6LED , wall , direct , cartridge ,
 B6WDLEDPAT , led , B6LED , wall , direct , cartridge , Yes 
 B6WDPAT , fluorescent , BEAM6 , wall , indirect ,, Yes 
 B6WI , fluorescent , BEAM6 , wall , indirect ,,
 B6WILEDPAT , led , B6LED , wall , indirect , cartridge , Yes 
 B6WIPAT , fluorescent , BEAM6 , wall , indirect ,, Yes 
 B6WLEDPAT , led , B6LED , wall , direct/indirect , cartridge , Yes 
 B6WPAT , fluorescent , BEAM6 , wall , direct/indirect ,, Yes 
 BAS , fluorescent , BASE , pendant , direct ,,
 BASA , fluorescent , BASE , pendant , direct ,,
 BASS , fluorescent , BASE , surface , direct ,,
 BASW , fluorescent , BASE , wall , direct ,,
 BASWA , fluorescent , BASE , wall , direct ,,
 BB , fluorescent , BEAM4 , pendant , direct/indirect ,,
 BBD , fluorescent , BEAM4 , pendant , direct ,,
 BBDILED , led , B4LED , pendant , direct/indirect , cartridge ,
 BBDILEDPAT , led , B4LED , pendant , direct/indirect , cartridge , Yes 
 BBDLED , led , B4LED , pendant , direct , cartridge ,
 BBDLEDPAT , led , B4LED , pendant , direct , cartridge , Yes 
 BBDPAT , fluorescent , BEAM4 , pendant , direct ,, Yes 
 BBI , fluorescent , BEAM4 , pendant , indirect ,,
 BBILED , led , B4LED , pendant , direct , cartridge ,
 BBILED2 , led , B4SLED , pendant , indirect , boardsurrondlite ,
 BBILEDPAT , led , B4LED , pendant , indirect , cartridge , Yes 
 BBIPAT , fluorescent , BEAM4 , pendant , indirect ,, Yes 
 BBLED2 , led , B4SLED , pendant , direct/indirect , cartridge ,
 BBLEDPAT , led , B4LED , pendant , direct/indirect , cartridge , Yes 
 BBPAT , fluorescent , BEAM4 , pendant , direct/indirect ,, Yes 
 BBPRLED , led , B4LED , recessed , direct , cartridge ,
 BBR , fluorescent , BEAM4 , recessed , direct ,,
 BBRLED , led , B4LED , recessed , direct , cartridge ,
 BBRLEDPAT , led , B4LED , recessed , direct , cartridge , Yes 
 BBRPAT , fluorescent , BEAM4 , recessed , direct ,, Yes 
 BBRV , fluorescent , BEAM4 , recessed , direct ,,
 BBRVLED , led , B4LED , recessed , direct , cartridge ,
 BBS , fluorescent , BEAM4 , surface , direct ,,
