 Product ID , Lighting , Fixture Type , Mounting , Work Center , Section , Length , Option , ID , Task ,Time(min),,Sum of Time(min),Column Labels,,,,,,,
DIA,fluorescent,Grid,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,Row Labels,SM,ST,TB15,TB9,TG15,TG9,Grand Total,
DIA,fluorescent,Grid,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,DAYC,14.86,14.86,14.86,14.86,14.86,14.86,89.16,
DIA,fluorescent,Grid,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,11,0,0,0,0,0,0,0,
DIA,fluorescent,Grid,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,12,5.73,5.73,5.73,5.73,5.73,5.73,34.38,
DIA,fluorescent,Grid,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,14,3.42,3.42,3.42,3.42,3.42,3.42,20.52,
DUO,fluorescent,Grid,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,22,4.32,4.32,4.32,4.32,4.32,4.32,25.92,
DUO,fluorescent,Grid,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,24,1.39,1.39,1.39,1.39,1.39,1.39,8.34,
DUO,fluorescent,Grid,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,DAYCLED,4.69,4.69,9.38,4.69,4.69,,28.14,
DUO,fluorescent,Grid,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,11,3.17,3.17,6.34,3.17,3.17,,19.02,
DUO,fluorescent,Grid,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,12,0,0,0,0,0,,0,
PO,fluorescent,Grid,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,14,0,0,0,0,0,,0,
PO,fluorescent,Grid,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,22,1.52,1.52,3.04,1.52,1.52,,9.12,
PO,fluorescent,Grid,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,24,0,0,0,0,0,,0,
PO,fluorescent,Grid,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,DAYF,14.86,14.86,14.86,14.86,14.86,14.86,89.16,
PO,fluorescent,Grid,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,11,0,0,0,0,0,0,0,
WA,fluorescent,Grid,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,12,5.73,5.73,5.73,5.73,5.73,5.73,34.38,
WA,fluorescent,Grid,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,14,3.42,3.42,3.42,3.42,3.42,3.42,20.52,
WA,fluorescent,Grid,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,22,4.32,4.32,4.32,4.32,4.32,4.32,25.92,
WA,fluorescent,Grid,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,24,1.39,1.39,1.39,1.39,1.39,1.39,8.34,
WA,fluorescent,Grid,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,DAYFLED,4.69,4.69,9.38,4.69,4.69,,28.14,
DIA,fluorescent,Grid,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,11,3.17,3.17,6.34,3.17,3.17,,19.02,
DIA,fluorescent,Grid,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,12,0,0,0,0,0,,0,
DIA,fluorescent,Grid,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,14,0,0,0,0,0,,0,
DIA,fluorescent,Grid,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,22,1.52,1.52,3.04,1.52,1.52,,9.12,
DIA,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,24,0,0,0,0,0,,0,
DUO,fluorescent,Grid,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,DIA,27.77,13.37,13.37,13.37,3.36,13.37,84.61,
DUO,fluorescent,Grid,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,11,8.17,0,0,0,0,0,8.17,
DUO,fluorescent,Grid,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,12,0,0,0,0,0,0,0,
DUO,fluorescent,Grid,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,14,7.16,4.87,4.87,4.87,1.35,4.87,27.99,
DUO,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,22,6.57,4.87,4.87,4.87,2,4.87,28.05,
PO,fluorescent,Grid,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,24,5.87,3.63,3.63,3.63,0.01,3.63,20.4,
PO,fluorescent,Grid,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,DIALED,16.59,3.67,3.67,3.67,1.39,3.67,32.66,
PO,fluorescent,Grid,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,11,6.38,3.65,3.65,3.65,1.39,3.65,22.37,
PO,fluorescent,Grid,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,12,0,0,0,0,0,0,0,
PO,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,14,3.61,0,0,0,0,0,3.61,
WA,fluorescent,Grid,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,22,4.24,0.02,0.02,0.02,0,0.02,4.32,
WA,fluorescent,Grid,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,24,2.36,0,0,0,0,0,2.36,
WA,fluorescent,Grid,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,DUO,27.77,13.37,13.37,13.37,3.36,13.37,84.61,
WA,fluorescent,Grid,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,11,8.17,0,0,0,0,0,8.17,
WA,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,12,0,0,0,0,0,0,0,
DIA,fluorescent,Grid,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,14,7.16,4.87,4.87,4.87,1.35,4.87,27.99,
DIA,fluorescent,Grid,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,22,6.57,4.87,4.87,4.87,2,4.87,28.05,
DIA,fluorescent,Grid,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,24,5.87,3.63,3.63,3.63,0.01,3.63,20.4,
DIA,fluorescent,Grid,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,PO,27.77,13.37,13.37,13.37,3.36,13.37,84.61,
DIA,fluorescent,Grid,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,11,8.17,0,0,0,0,0,8.17,
DUO,fluorescent,Grid,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,12,0,0,0,0,0,0,0,
DUO,fluorescent,Grid,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,14,7.16,4.87,4.87,4.87,1.35,4.87,27.99,
DUO,fluorescent,Grid,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,22,6.57,4.87,4.87,4.87,2,4.87,28.05,
DUO,fluorescent,Grid,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,24,5.87,3.63,3.63,3.63,0.01,3.63,20.4,
DUO,fluorescent,Grid,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,POLED,16.59,3.67,3.67,3.67,1.39,3.67,32.66,
PO,fluorescent,Grid,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,11,6.38,3.65,3.65,3.65,1.39,3.65,22.37,
PO,fluorescent,Grid,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,12,0,0,0,0,0,0,0,
PO,fluorescent,Grid,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,14,3.61,0,0,0,0,0,3.61,
PO,fluorescent,Grid,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,22,4.24,0.02,0.02,0.02,0,0.02,4.32,
PO,fluorescent,Grid,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,24,2.36,0,0,0,0,0,2.36,
WA,fluorescent,Grid,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,WA,27.77,13.37,13.37,13.37,3.36,13.37,84.61,
WA,fluorescent,Grid,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,11,8.17,0,0,0,0,0,8.17,
WA,fluorescent,Grid,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,12,0,0,0,0,0,0,0,
WA,fluorescent,Grid,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,14,7.16,4.87,4.87,4.87,1.35,4.87,27.99,
WA,fluorescent,Grid,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,22,6.57,4.87,4.87,4.87,2,4.87,28.05,
DIA,fluorescent,Grid,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,24,5.87,3.63,3.63,3.63,0.01,3.63,20.4,
DIA,fluorescent,Grid,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,WALED,16.59,3.67,3.67,3.67,1.39,3.67,32.66,
DIA,fluorescent,Grid,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,11,6.38,3.65,3.65,3.65,1.39,3.65,22.37,
DIA,fluorescent,Grid,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,12,0,0,0,0,0,0,0,
DIA,fluorescent,Grid,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,14,3.61,0,0,0,0,0,3.61,
DUO,fluorescent,Grid,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,22,4.24,0.02,0.02,0.02,0,0.02,4.32,
DUO,fluorescent,Grid,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,24,2.36,0,0,0,0,0,2.36,
DUO,fluorescent,Grid,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,Grand Total,199.95,103.59,112.97,103.59,56.71,94.21,671.02,
DUO,fluorescent,Grid,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,,,,,,,,,
DUO,fluorescent,Grid,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,,,,,,,,,
PO,fluorescent,Grid,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
PO,fluorescent,Grid,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
PO,fluorescent,Grid,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,,,,,,,,,
PO,fluorescent,Grid,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,,,,,,,,,
PO,fluorescent,Grid,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,,,,,,,,,
WA,fluorescent,Grid,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WA,fluorescent,Grid,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WA,fluorescent,Grid,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,4.87,,,,,,,,,,
WA,fluorescent,Grid,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.87,,,,,,,,,,
WA,fluorescent,Grid,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,3.63,,,,,,,,,,
DIA,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIA,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIA,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,1.35,,,,,,,,,,
DIA,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,2,,,,,,,,,,
DIA,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0.01,,,,,,,,,,
DUO,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DUO,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DUO,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,1.35,,,,,,,,,,
DUO,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,2,,,,,,,,,,
DUO,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0.01,,,,,,,,,,
PO,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
PO,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
PO,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,1.35,,,,,,,,,,
PO,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,2,,,,,,,,,,
PO,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0.01,,,,,,,,,,
WA,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WA,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WA,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,1.35,,,,,,,,,,
WA,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,2,,,,,,,,,,
WA,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0.01,,,,,,,,,,
DIA,fluorescent,Grid,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,8.17,,,,,,,,,,
DIA,fluorescent,Grid,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIA,fluorescent,Grid,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,7.16,,,,,,,,,,
DIA,fluorescent,Grid,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,6.57,,,,,,,,,,
DIA,fluorescent,Grid,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,5.87,,,,,,,,,,
DUO,fluorescent,Grid,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,8.17,,,,,,,,,,
DUO,fluorescent,Grid,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DUO,fluorescent,Grid,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,7.16,,,,,,,,,,
DUO,fluorescent,Grid,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,6.57,,,,,,,,,,
DUO,fluorescent,Grid,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,5.87,,,,,,,,,,
PO,fluorescent,Grid,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,8.17,,,,,,,,,,
PO,fluorescent,Grid,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
PO,fluorescent,Grid,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,7.16,,,,,,,,,,
PO,fluorescent,Grid,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,6.57,,,,,,,,,,
PO,fluorescent,Grid,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,5.87,,,,,,,,,,
WA,fluorescent,Grid,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,8.17,,,,,,,,,,
WA,fluorescent,Grid,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WA,fluorescent,Grid,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,7.16,,,,,,,,,,
WA,fluorescent,Grid,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,6.57,,,,,,,,,,
WA,fluorescent,Grid,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,5.87,,,,,,,,,,
DAYC,fluorescent,Grid,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYF,fluorescent,Grid,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYF,fluorescent,Grid,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYF,fluorescent,Grid,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYC,fluorescent,Grid,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYF,fluorescent,Grid,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYF,fluorescent,Grid,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYF,fluorescent,Grid,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYC,fluorescent,Grid,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYF,fluorescent,Grid,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYF,fluorescent,Grid,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYF,fluorescent,Grid,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYC,fluorescent,Grid,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
