 Fixture Type , Work Center , Option ,ID, Task ,Time(min),, Machine Shop ,,,,,,
 pendant , Assembly , mr2 , CAD 7.00 , Fix sub-assembly MR ballast in housing ,1.16,, Sum of Time(min) , Column Labels ,,,,,
 pendant , Assembly , mr2 , CAD 8.00 , Slide sleeve on wires under MR lamp ,1.00,, Row Labels , Assembly , Drill , Single Saw , Subassembly Wires , Preparation , Grand Total 
 pendant , Assembly , mr2 , CAD 9.00 , Connect ballast together ,0.00,, pendant ,4.50,0.88,0.29,1.49,3.37,10.53
 pendant , Assembly , mr2 , CAD 10.00 , Bring power wires to exit ,0.10,, recessed ,3.25,0.88,0.29,,3.37,7.79
 pendant , Assembly , mr2 , CAD 11.00 ," Plug power cord 3 wires with exit wires with wago connectors, screw to housing with plastic clamp (ERS & E ballast) ",1.25,, surface ,3.25,0.88,0.29,,3.37,7.79
 pendant , Assembly , mr2 , CAD 12.00 , Test lamp ,0.88,, wall ,4.50,0.88,0.29,1.49,3.37,10.53
 pendant , Assembly , mr2 , CAD 13.00 , Clip cover with face plate on housing ,0.11,, Grand Total ,15.50,3.52,1.16,2.98,13.49,36.66
 recessed , Assembly , mr1 ,6, Fix sub-assembly MR ballast in housing ,1.16,,,,,,,,
 recessed , Assembly , mr1 ,7, Slide sleeve on wires under MR lamp ,1.00,,,,,,,,
 recessed , Assembly , mr1 ,8, Connect ballast together ,0.00,,,,,,,,
 recessed , Assembly , mr1 ,9, Bring power wires to exit ,0.10,,,,,,,,
 recessed , Assembly , mr1 ,10, Test lamp ,0.88,,,,,,,,
 recessed , Assembly , mr1 ,11, Clip cover with face plate on housing ,0.11,,,,,,,,
 surface , Assembly , mr1 , CAD 6.00 , Fix sub-assembly MR ballast in housing ,1.16,,,,,,,,
 surface , Assembly , mr1 , CAD 7.00 , Slide sleeve on wires under MR lamp ,1.00,,,,,,,,
 surface , Assembly , mr1 , CAD 8.00 , Connect ballast together ,0.00,,,,,,,,
 surface , Assembly , mr1 , CAD 9.00 , Bring power wires to exit ,0.10,,,,,,,,
 surface , Assembly , mr1 , CAD 10.00 , Test lamp ,0.88,,,,,,,,
 surface , Assembly , mr1 , CAD 11.00 , Clip cover with face plate on housing ,0.11,,,,,,,,
 wall , Assembly , mr2 , CAD 7.00 , Fix sub-assembly MR ballast in housing ,1.16,,,,,,,,
 wall , Assembly , mr2 , CAD 8.00 , Slide sleeve on wires under MR lamp ,1.00,,,,,,,,
 wall , Assembly , mr2 , CAD 9.00 , Connect ballast together ,0.00,,,,,,,,
 wall , Assembly , mr2 , CAD 10.00 , Bring power wires to exit ,0.10,,,,,,,,
 wall , Assembly , mr2 , CAD 11.00 ," Plug power cord 3 wires with exit wires with wago connectors, screw to housing with plastic clamp (ERS & E ballast) ",1.25,,,,,,,,
 wall , Assembly , mr2 , CAD 12.00 , Test lamp ,0.88,,,,,,,,
 wall , Assembly , mr2 , CAD 13.00 , Clip cover with face plate on housing ,0.11,,,,,,,,
 pendant , Drill , mr2 , CAD 2.00 , Drill lamp hole in cover ,0.88,,,,,,,,
 recessed , Drill , mr1 ,2, Drill lamp hole in cover ,0.88,,,,,,,,
 surface , Drill , mr1 , CAD 2.00 , Drill lamp hole in cover ,0.88,,,,,,,,
 wall , Drill , mr2 , CAD 2.00 , Drill lamp hole in cover ,0.88,,,,,,,,
 pendant , Single Saw , mr2 , CAD 1.00 , Saw cover ,0.29,,,,,,,,
 recessed , Single Saw , mr1 ,1, Saw cover ,0.29,,,,,,,,
 surface , Single Saw , mr1 , CAD 1.00 , Saw cover ,0.29,,,,,,,,
 wall , Single Saw , mr2 , CAD 1.00 , Saw cover ,0.29,,,,,,,,
 pendant , Subassembly Wires , mr2 , CAD 3.00 , Cut & streap power cord ,1.49,,,,,,,,
 pendant , Preparation , mr2 , CAD 4.00 , Sub-ass'y MR ballast ,2.83,,,,,,,,
 pendant , Preparation , mr2 , CAD 5.00 , Put 2 springs in insert & fix insert on cover ,0.20,,,,,,,,
 pendant , Preparation , mr2 , CAD 6.00 , Clip face plate to cover ,0.34,,,,,,,,
 recessed , Preparation , mr1 ,3, Sub-ass'y MR ballast ,2.83,,,,,,,,
 recessed , Preparation , mr1 ,4, Put 2 springs in insert & fix insert on cover ,0.20,,,,,,,,
 recessed , Preparation , mr1 ,5, Clip face plate to cover ,0.34,,,,,,,,
 surface , Preparation , mr1 , CAD 3.00 , Sub-ass'y MR ballast ,2.83,,,,,,,,
 surface , Preparation , mr1 , CAD 4.00 , Put 2 springs in insert & fix insert on cover ,0.20,,,,,,,,
 surface , Preparation , mr1 , CAD 5.00 , Clip face plate to cover ,0.34,,,,,,,,
 wall , Subassembly Wires , mr2 , CAD 3.00 , Cut & streap power cord ,1.49,,,,,,,,
 wall , Preparation , mr2 , CAD 4.00 , Sub-ass'y MR ballast ,2.83,,,,,,,,
 wall , Preparation , mr2 , CAD 5.00 , Put 2 springs in insert & fix insert on cover ,0.20,,,,,,,,
 wall , Preparation , mr2 , CAD 6.00 , Clip face plate to cover ,0.34,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
