 Product ID , Work Center , Option , Task , Time(min) ,, Sum of Time(min) , Column Labels ,,,,
 BS , Subassembly , subendc1 , Set-up ,0.00,, Row Labels , Drilling , Subassembly , Milling , Single Saw , Grand Total 
 BSLED , Subassembly , subendc1 , Set-up ,0.00,, 101C ,5.00,,,,5.00
 BSLEDPAT , Subassembly , subendc1 , Set-up ,0.00,, 101CA ,5.00,,,,5.00
 BSPAT , Subassembly , subendc1 , Set-up ,0.00,, 101CS ,5.00,,,,5.00
 BWD , Subassembly , subendc1 , Set-up ,0.00,, 101CW ,,,,3.00,3.00
 BWDLED , Subassembly , subendc1 , Set-up ,0.00,, 101CWA ,,,,3.00,3.00
 BWDLEDPAT , Subassembly , subendc1 , Set-up ,0.00,, 101F ,5.00,,,,5.00
 BWDPAT , Subassembly , subendc1 , Set-up ,0.00,, 101FA ,5.00,,,,5.00
 BWI , Subassembly , subendc1 , Set-up ,0.00,, 101FW ,,,,3.00,3.00
 BWILED , Subassembly , subendc1 , Set-up ,0.00,, 101FWA ,,,,3.00,3.00
 BWILEDPAT , Subassembly , subendc1 , Set-up ,0.00,, 202C ,5.00,,,,5.00
 BWIPAT , Subassembly , subendc1 , Set-up ,0.00,, 202CA ,5.00,,,,5.00
 BWLEDPAT , Subassembly , subendc1 , Set-up ,0.00,, 202CS ,5.00,,,,5.00
 BWPAT , Subassembly , subendc1 , Set-up ,0.00,, 202CW ,,,,3.00,3.00
 BWV , Subassembly , subendc1 , Set-up ,0.00,, 202CWA ,,,,3.00,3.00
 BWVLED , Subassembly , subendc1 , Set-up ,0.00,, 202F ,5.00,,,,5.00
 D5 , Subassembly , subendc10 , Set-up ,1.00,, 202FA ,5.00,,,,5.00
 D5 , Drilling , subendc10 , Set-up ,3.00,, 202FW ,,,,3.00,3.00
 D5 , Milling , subendc10 , Set-up ,5.00,, 202FWA ,,,,3.00,3.00
 D5S , Subassembly , subendc10 , Set-up ,1.00,, AR ,,0.00,,,0.00
 D5S , Drilling , subendc10 , Set-up ,3.00,, ARC ,5.00,,,,5.00
 D5S , Milling , subendc10 , Set-up ,5.00,, ARCA ,5.00,,,,5.00
 D5W , Subassembly , subendc10 , Set-up ,1.00,, ARCW ,,,,3.00,3.00
 D5W , Drilling , subendc10 , Set-up ,3.00,, ARCWA ,,,,3.00,3.00
 D5W , Milling , subendc10 , Set-up ,5.00,, ARLED ,,0.00,,,0.00
 PICR , Subassembly , subendc11 , Set-up ,1.00,, ARS ,,0.00,,,0.00
 PICWR , Subassembly , subendc11 , Set-up ,1.00,, ARSLED ,,0.00,,,0.00
 PMRLED , Subassembly , subendc11 , Set-up ,1.00,, ARW ,,0.00,,,0.00
 PMWR , Subassembly , subendc11 , Set-up ,1.00,, ARWBT ,,0.00,,,0.00
 TB , Subassembly , subendc2 , Set-up ,0.00,, ARWBTLED ,,0.00,,,0.00
 TBDILED , Subassembly , subendc2 , Set-up ,0.00,, ARWLED ,,0.00,,,0.00
 TBDILEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6 ,3.00,,,,3.00
 TBDLED , Subassembly , subendc2 , Set-up ,0.00,, B6D ,3.00,,,,3.00
 TBDLEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6DLED ,5.00,,,,5.00
 TBDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6DLEDPAT ,5.00,,,,5.00
 TBILED , Subassembly , subendc2 , Set-up ,0.00,, B6DPAT ,3.00,,,,3.00
 TBILEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6I ,3.00,,,,3.00
 TBIPAT , Subassembly , subendc2 , Set-up ,0.00,, B6ILEDPAT ,5.00,,,,5.00
 TBLEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6IPAT ,3.00,,,,3.00
 TBPAT , Subassembly , subendc2 , Set-up ,0.00,, B6LEDPAT ,5.00,,,,5.00
 TBW , Subassembly , subendc2 , Set-up ,0.00,, B6PAT ,3.00,,,,3.00
 TBWDILED , Subassembly , subendc2 , Set-up ,0.00,, B6S ,,0.00,,,0.00
 TBWDILEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6SLED ,,0.00,,,0.00
 TBWDLED , Subassembly , subendc2 , Set-up ,0.00,, B6SLEDPAT ,,0.00,,,0.00
 TBWDLEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6SPAT ,,0.00,,,0.00
 TBWDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6W ,,0.00,,,0.00
 TBWILED , Subassembly , subendc2 , Set-up ,0.00,, B6WD ,,0.00,,,0.00
 TBWILEDPAT , Subassembly , subendc2 , Set-up ,0.00,, B6WDLED ,,0.00,,,0.00
 TBWIPAT , Subassembly , subendc2 , Set-up ,0.00,, B6WDLEDPAT ,,0.00,,,0.00
 TBWPAT , Subassembly , subendc2 , Set-up ,0.00,, B6WDPAT ,,0.00,,,0.00
 B6S , Subassembly , subendc3 , Set-up ,0.00,, B6WI ,,0.00,,,0.00
 B6SPAT , Subassembly , subendc3 , Set-up ,0.00,, B6WILEDPAT ,,0.00,,,0.00
 B6W , Subassembly , subendc3 , Set-up ,0.00,, B6WIPAT ,,0.00,,,0.00
 B6WD , Subassembly , subendc3 , Set-up ,0.00,, B6WLEDPAT ,,0.00,,,0.00
 B6WDPAT , Subassembly , subendc3 , Set-up ,0.00,, B6WPAT ,,0.00,,,0.00
 B6WI , Subassembly , subendc3 , Set-up ,0.00,, BAS ,5.00,,,,5.00
 B6WIPAT , Subassembly , subendc3 , Set-up ,0.00,, BASA ,5.00,,,,5.00
 B6WPAT , Subassembly , subendc3 , Set-up ,0.00,, BASS ,5.00,,,,5.00
 BBS , Subassembly , subendc3 , Set-up ,0.00,, BASW ,,,,3.00,3.00
 BBSPAT , Subassembly , subendc3 , Set-up ,0.00,, BASWA ,,,,3.00,3.00
 BBW , Subassembly , subendc3 , Set-up ,0.00,, BB ,3.00,,,,3.00
 BBWD , Subassembly , subendc3 , Set-up ,0.00,, BBD ,3.00,,,,3.00
 BBWDPAT , Subassembly , subendc3 , Set-up ,0.00,, BBDILED ,5.00,,,,5.00
 BBWI , Subassembly , subendc3 , Set-up ,0.00,, BBDILEDPAT ,5.00,,,,5.00
 BBWIPAT , Subassembly , subendc3 , Set-up ,0.00,, BBDLED ,5.00,,,,5.00
 BBWPAT , Subassembly , subendc3 , Set-up ,0.00,, BBDLEDPAT ,5.00,,,,5.00
 BDIW , Subassembly , subendc3 , Set-up ,0.00,, BBDPAT ,3.00,,,,3.00
 BMS , Subassembly , subendc3 , Set-up ,0.00,, BBI ,3.00,,,,3.00
 BMSPAT , Subassembly , subendc3 , Set-up ,0.00,, BBILED ,5.00,,,,5.00
 BMWD , Subassembly , subendc3 , Set-up ,0.00,, BBILED2 ,5.00,,,,5.00
 BMWDPAT , Subassembly , subendc3 , Set-up ,0.00,, BBILEDPAT ,5.00,,,,5.00
 BMWI , Subassembly , subendc3 , Set-up ,0.00,, BBIPAT ,3.00,,,,3.00
 BMWIPAT , Subassembly , subendc3 , Set-up ,0.00,, BBLED2 ,5.00,,,,5.00
 BMWPAT , Subassembly , subendc3 , Set-up ,0.00,, BBLEDPAT ,5.00,,,,5.00
 BMWV , Subassembly , subendc3 , Set-up ,0.00,, BBPAT ,3.00,,,,3.00
 TWC , Subassembly , subendc3 , Set-up ,0.00,, BBS ,,0.00,,,0.00
 TWCW , Subassembly , subendc3 , Set-up ,0.00,, BBSLED ,,0.00,,,0.00
 TWO , Subassembly , subendc3 , Set-up ,0.00,, BBSLEDPAT ,,0.00,,,0.00
 TWOW , Subassembly , subendc3 , Set-up ,0.00,, BBSPAT ,,0.00,,,0.00
 TWR , Subassembly , subendc3 , Set-up ,0.00,, BBW ,,0.00,,,0.00
 TWRLED , Subassembly , subendc3 , Set-up ,0.00,, BBWD ,,0.00,,,0.00
 TWRW , Subassembly , subendc3 , Set-up ,0.00,, BBWDILED ,,0.00,,,0.00
 TWRWLED , Subassembly , subendc3 , Set-up ,0.00,, BBWDLED ,,0.00,,,0.00
 B6SLED , Subassembly , subendc4 , Set-up ,0.00,, BBWDLEDPAT ,,0.00,,,0.00
