 Product ID , Flange , Work Center , Length , Task ,Time(min),, Sum of Time(min) , Column Labels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,,, Housing Assembly ,,,,,,,,,,,,, Housing Assembly Total , Subassembly ,,, Subassembly Total , Drilling ,,, Drilling Total , Grand Total ,,,,,,,,,
 B6D , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, Row Labels , CAD 4.00 , CAD 8.00 , CAD 12.00 ," CAD 10,003.00 "," CAD 10,005.00 "," CAD 10,008.00 "," CAD 10,013.00 "," CAD 10,018.00 "," CAD 10,023.00 ", CAD 11.00 , CAD 14.00 , CAD 22.00 , CAD 24.00 ,, CAD 4.00 , CAD 8.00 , CAD 12.00 ,, CAD 4.00 , CAD 8.00 , CAD 12.00 ,,,,,,,,,,,
 B6DLED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 101C ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6DLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6DPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 101CA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6I , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6ILEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 101CS ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6IPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6LEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,15.58,, 101CW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6PAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6R , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, 101CWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6R , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6R , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, 101F ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RLED , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RLED , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 101FA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RLED , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RLEDPAT , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 101FW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RLEDPAT , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RLEDPAT , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 101FWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RPAT , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RPAT , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, 202C ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RPAT , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RV , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, 202CA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RV , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RV , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, 202CS ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RVLED , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RVLED , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 202CW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6RVLED , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6S , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 202CWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6SLED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6SLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 202F ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6SPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6W , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 202FA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WD , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WDLED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 202FW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WDLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, 202FWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WI , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WILEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, AR ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6WIPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 B6WLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARC ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 B6WPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BB , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARCA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBD , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDILED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARCW ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDILEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDLED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARCWA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BBDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBI , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBILED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARS ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBILED2 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBILEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARSLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBIPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBLED2 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARW ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARWBT ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBR , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBR , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, ARWBTLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBR , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLED , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, ARWLED ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLED , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,0.00,0.00,0.00,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,
 BBRLED , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6 ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRLEDPAT , Flangeless , Housing Assembly , CAD 4.00 , set-up ,15.580,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRLEDPAT , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6D ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRLEDPAT , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRPAT , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6DLED ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRPAT , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRPAT , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, B6DLEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRV , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRV , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, B6DPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRV , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRVLED , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6I ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRVLED , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBRVLED , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6ILEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBS , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBSLED , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, B6IPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBSLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBSPAT , - , Housing Assembly , CAD 4.00 , set-up ,0.00,, B6LEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
