 Family Product , Optic , Work Center , Option , Time (min) ,, Sum of Time (min) , Column Labels ,,,,,,,,
 SCULPT , 0.5M , Saw , subopticlens15 ,6.00,, Row Labels , Cutter , Drilling , Grind , Saw , Saw Bench , Saw Lenses , Subassembly , Single Saw , Grand Total 
 SCULPT , 0.5M , Subassembly , subopticlens15 ,1.00,, AIR ,,,,,,,,,
 SCULPT , 0.5P , Saw , subopticlens15 ,6.00,, S ,,,,,,4.18,,,4.18
 SCULPT , 0.5P , Subassembly , subopticlens15 ,1.00,, AIRLED ,,,,,,,,,
 B6LED , 2M , Saw Lenses , subopticlens1 ,0.30,, S ,,,,,,4.18,,,4.18
 SCULPT , 2M , Saw , subopticlens15 ,6.00,, ARC ,,,,,,,,,
 SCULPT , 2M , Subassembly , subopticlens15 ,1.00,, S ,,,,,,5.57,,4.85,10.42
 B6LED , 2P , Saw Lenses , subopticlens1 ,0.30,, PL ,,,,,,,,4.85,4.85
 SCULPT , 2P , Saw , subopticlens15 ,6.00,, SB ,,,,,,,,4.85,4.85
 SCULPT , 2P , Subassembly , subopticlens15 ,1.00,, P ,,,,,,,,4.85,4.85
 BEAM2 , A , Saw , subopticlensa ,1.00,, SL ,,,,,,,,4.85,4.85
 BEAM3 , A , Saw , subopticlensa ,1.00,, B2LED ,,,,,,,,,
 BEAM4 , A , Saw , subopticlensa ,1.00,, C ,,,,,,0.30,,,0.30
 BEAM6 , A , Saw , subopticlensa ,1.00,, SO ,,,,,,0.30,,,0.30
 TBEAM2 , A , Saw , subopticlensa ,1.00,, FL ,,,,,,0.30,,,0.30
 B3LED , ASO , Single Saw , subopticlensaso ,1.00,, B3LED ,,,,,,,,,
 B3LED , ASO , Saw Bench , subopticlensaso ,1.00,, C ,,,,,,0.30,,,0.30
 B3LED , ASO , Saw Lenses , subopticlensaso ,1.00,, SO ,,,,,,0.30,,,0.30
 WBEAMD , AV , Drilling , subopticlens6 ,3.00,, FL ,,,,,,0.30,,,0.30
 B2LED , C , Saw Lenses , subopticlens1 ,0.30,, ASO ,,,,,1.00,1.00,,1.00,3.00
 B3LED , C , Saw Lenses , subopticlens1 ,0.30,, B4LED ,,,,,,,,,
 B4LED , C , Saw Lenses , subopticlens1 ,0.30,, C ,,,,,,0.30,,,0.30
 BEAM2 , C , Saw Lenses , subopticlens1 ,0.30,, SO ,,,,,,0.30,,,0.30
 BEAM3 , C , Saw Lenses , subopticlens1 ,0.30,, FL ,,,,,,0.30,,,0.30
 TB2LED , C , Saw Lenses , subopticlens1 ,0.30,, RG ,,,,,,0.30,,,0.30
 WBEAM4 , C , Saw Lenses , subopticlens1 ,0.30,, B6LED ,,,,,,,,,
 MINI , C , Saw Lenses , subopticlens4 ,4.18,, SO ,,,,,,0.30,,,0.30
 BEAM2 , F , Saw Lenses , subopticlens1 ,0.30,, FL ,,,,,,0.30,,,0.30
 BEAM3 , F , Saw Lenses , subopticlens1 ,0.30,, RG ,,,,,,0.30,,,0.30
 BEAM4 , F , Saw Lenses , subopticlens1 ,0.30,, 2M ,,,,,,0.30,,,0.30
 BEAM6 , F , Saw Lenses , subopticlens1 ,0.30,, 2P ,,,,,,0.30,,,0.30
 BEAMDI , F , Saw Lenses , subopticlens1 ,0.30,, BASE ,,,,,,,,,
 PICMED , F , Saw Lenses , subopticlens1 ,0.30,, S ,,,,,,5.57,,4.85,10.42
 TBEAM2 , F , Saw Lenses , subopticlens1 ,0.30,, PL ,,,,,,,,4.85,4.85
 WBEAM4 , F , Saw Lenses , subopticlens1 ,0.30,, SB ,,,,,,,,4.85,4.85
 WBEAMD , F , Drilling , subopticlens6 ,3.00,, P ,,,,,,,,4.85,4.85
 B2LED , FL , Saw Lenses , subopticlens1 ,0.30,, SL ,,,,,,,,4.85,4.85
 B3LED , FL , Saw Lenses , subopticlens1 ,0.30,, BEAM2 ,,,,,,,,,
 B4LED , FL , Saw Lenses , subopticlens1 ,0.30,, C ,,,,,,0.30,,,0.30
 B6LED , FL , Saw Lenses , subopticlens1 ,0.30,, F ,,,,,,0.30,,,0.30
 SCULPT , FL , Saw , subopticlens14 ,6.00,, S ,,,,,,0.30,,,0.30
 ARC , P , Single Saw , subopticcovers ,4.85,, PL ,,,,,,3.00,,4.85,7.85
 BASE , P , Single Saw , subopticcovers ,4.85,, A ,,,,1.00,,,,,1.00
 CUBIC , P , Single Saw , subopticcovers ,4.85,, BEAM3 ,,,,,,,,,
 FLOW , P , Single Saw , subopticcovers ,4.85,, C ,,,,,,0.30,,,0.30
 LIGHT , P , Single Saw , subopticcovers ,4.85,, F ,,,,,,0.30,,,0.30
 LT , P , Single Saw , subopticcovers ,4.85,, S ,,,,,,0.30,,,0.30
 SUSHI , P , Single Saw , subopticcovers ,4.85,, PL ,,,,,,3.00,,4.85,7.85
 ARC , PL , Single Saw , subopticcovers ,4.85,, A ,,,,1.00,,,,,1.00
 BASE , PL , Single Saw , subopticcovers ,4.85,, SW ,,,,1.00,1.00,1.00,1.00,,4.00
 BEAM2 , PL , Single Saw , subopticcovers ,4.85,, WW ,,,,,,,1.00,1.00,2.00
 BEAM3 , PL , Single Saw , subopticcovers ,4.85,, BEAM4 ,,,,,,,,,
 BEAM4 , PL , Single Saw , subopticcovers ,4.85,, F ,,,,,,0.30,,,0.30
 BEAM6 , PL , Single Saw , subopticcovers ,4.85,, S ,,,,,,0.30,,,0.30
 CUBIC , PL , Single Saw , subopticcovers ,4.85,, PL ,,,,,,3.00,,4.85,7.85
 FLOW , PL , Single Saw , subopticcovers ,4.85,, A ,,,,1.00,,,,,1.00
 LIGHT , PL , Single Saw , subopticcovers ,4.85,, SW ,,,,1.00,1.00,1.00,1.00,,4.00
 LT , PL , Single Saw , subopticcovers ,4.85,, WW ,,,,,,,1.00,1.00,2.00
 SLMLED , PL , Single Saw , subopticcovers ,4.85,, BEAM6 ,,,,,,,,,
 SUSHI , PL , Single Saw , subopticcovers ,4.85,, F ,,,,,,0.30,,,0.30
 TBEAM2 , PL , Single Saw , subopticcovers ,4.85,, S ,,,,,,0.30,,,0.30
 WBEAMD , PL , Drilling , subopticlens6 ,3.00,, PL ,,,,,,3.00,,4.85,7.85
 BEAM2 , PL , Saw Lenses , subopticlouv1 ,3.00,, A ,,,,1.00,,,,,1.00
 BEAM3 , PL , Saw Lenses , subopticlouv1 ,3.00,, BEAMDI ,,,,,,,,,
 BEAM4 , PL , Saw Lenses , subopticlouv1 ,3.00,, F ,,,,,,0.30,,,0.30
 BEAM6 , PL , Saw Lenses , subopticlouv1 ,3.00,, S ,,,,,,0.30,,,0.30
 TBEAM2 , PL , Saw Lenses , subopticlouv1 ,3.00,, CUBIC ,,,,,,,,,
