Standard Time and Labor Cost -Linear Fixtures,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Enter product code,,,,,,,,,,,,,,,,,,,,,
BBRLED-1000-80-35-FL-6'-W-UNV-DP-1-TB15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code Information,,,,,,,,Options,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product ID,BBRLED,,,,,,,Battery,,,,MR,YES,,,,,,,,
,,,,,,,,Batteries Qty,,,,MR Lamp Qty,1,,,,,,,,
Length,6,,,,,,,,,,,,,,,,,,,,
,,,,If applicable,,,,Control,,,,CB,,,,,,,,,
Optic Direct,ASO,,,Optic Indirect,sl,,,Controls Qty,,,,CB Lamp Qty,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Kind of Ballast/Driver,DP,,,,,, ,Flexwhip,,,,Chicago Plenum,,,,,,,,,
,,,,Only for fluorescent,,,,Top/End Feed,,,,Remote,,,,,,,,,
Circuit,1,,,Lamp Down,,,,Fuse,,,,Emergency,,,,,,,,,
,,,,Lamp Up,,,,Dust Cover,,,,Night Light,,,,,,,,,
Mounting/Suspension,TB15,,,,,,,,,,,GTD,,,,,,,,,
,,,,,,,,,,,,TS,,,,,,,,,
,,,,,,,,,,,,Accent,,,,,,,,,
,,,,,,,,,,,,Accent Qty,,,,,,,,,
Lighting,led,,,Ballast/Driver,Driver,,,,,,,,,,,,,,,,
Family Product,B4LED,,,# Wires,5,,,,,,,,,,,,,,,,
Fixture Type,recessed,,,Description,With Flanges,,,,,,,,,,,,,,,,
Section Type,Complete Section,,,Bracket/N Bracket,N Bracket,,,,,,,,,,,,,,,,
Direct/Indirect,direct,,,Ballast Fixation,"no brkt:2 nuts, 1 screw",,,,,,,,,,,,,,,,
,,,,,,,,Pattern/Standard,Standard,,,,,,,,,,,,
Circuit,1,,,Circuit,,,,Circuit,,,,Circuit,,,,,,,,,
# Ballast/Driver CS,2,,,# Ballast/Driver SR1,,,,# Ballast/Driver SRM,,,,# Ballast/Driver SRE,,,,,,,,,
Cartridge/Board,cartridge,,,Cartridge/Board,,,,Cartridge/Board,,,,Cartridge/Board,,,,,,,,,
# Cartridge CS,2,,,# Cartridge SR1,,,,# Cartridge SRM,,,,# Cartridge SRE,,,,,,,,,
Cartridge 1 CS,C5-2,,,Cartridge 1 SR1,,,,Cartridge 1 SRM,,,,Cartridge 1 SRE,,,,,,,,,
Cartridge 2 CS,C6-1,,,Cartridge 2 SR1,,,,Cartridge 2 SRM,,,,Cartridge 2 SRE,,,,,,,,,
Cartridge 3 CS,,,,Cartridge 3 SR1,,,,Cartridge 3 SRM,,,,Cartridge 3 SRE,,,,,,,,,
,,,,,,,,Middle Section Qty,,,,,,,,,,,,,
Real CS,Complete Section,,,Real SR1,SR1,,,Real SRM,SRM,,,Real SRE,SRE,,,,,,,,
6,8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Operation,Work Center,Time,,Operation,Work Center,Time,,Operation,Work Center,Time,,Operation,Work Center,Time,,,,,,,
Set-up MS CS,Saw,,,Set-up MS SR1,Saw,,,Set-up MS SRM,Saw,,,Set-up MS SRE,Saw,,,,,,,,
,CNC,,,,CNC,,,,CNC,,,,CNC,,,,,,,,
,Drilling,,,,Drilling,,,,Drilling,,,,Drilling,,,,,,,,
,Milling,,,,Milling,,,,Milling,,,,Milling,,,,,,,,
,Miscellaneous,,,,Miscellaneous,,,,Miscellaneous,,,,Miscellaneous,,,,,,,,
,Punch,,,,Punch,,,,Punch,,,,Punch,,,,,,,,
Set up Sub End C CS,Single Saw,,,Set up Sub End C SR1,Single Saw,,,Set up Sub End C SRM,Single Saw,,,Set up Sub End C SRE,Single Saw,,,,,,,,
,CNC,,,,CNC,,,,CNC,,,,CNC,,,,,,,,
,Drilling,,,,Drilling,,,,Drilling,,,,Drilling,,,,,,,,
,Milling,,,,Punch,,,,Punch,,,,Punch,,,,,,,,
