 Product ID , Description , Work Center , Option , Activity , Total Time (min) 
 B6W , - , CNC , cnca , set-up ,8
 B6WD , - , CNC , cnca , set-up ,8
 B6WDLED , - , CNC , cnca , set-up ,8
 B6WDLEDPAT , - , CNC , cnca , set-up ,8
 B6WDPAT , - , CNC , cnca , set-up ,8
 B6WI , - , CNC , cnca , set-up ,8
 B6WILEDPAT , - , CNC , cnca , set-up ,8
 B6WIPAT , - , CNC , cnca , set-up ,8
 B6WLEDPAT , - , CNC , cnca , set-up ,8
 B6WPAT , - , CNC , cnca , set-up ,8
 BBW , - , CNC , cnca , set-up ,8
 BBWD , - , CNC , cnca , set-up ,8
 BBWDILED , - , CNC , cnca , set-up ,8
 BBWDLED , - , CNC , cnca , set-up ,8
 BBWDLEDPAT , - , CNC , cnca , set-up ,8
 BBWDPAT , - , CNC , cnca , set-up ,8
 BBWI , - , CNC , cnca , set-up ,8
 BBWILED , - , CNC , cnca , set-up ,8
 BBWILEDPAT , - , CNC , cnca , set-up ,8
 BBWIPAT , - , CNC , cnca , set-up ,8
 BBWLEDPAT , - , CNC , cnca , set-up ,8
 BBWPAT , - , CNC , cnca , set-up ,8
 BDIW , - , CNC , cnca , set-up ,8
 BMWD , - , CNC , cnca , set-up ,8
 BMWDLED , - , CNC , cnca , set-up ,8
 BMWDLEDPAT , - , CNC , cnca , set-up ,8
 BMWDPAT , - , CNC , cnca , set-up ,8
 BMWI , - , CNC , cnca , set-up ,8
 BMWILED , - , CNC , cnca , set-up ,8
 BMWILEDPAT , - , CNC , cnca , set-up ,8
 BMWIPAT , - , CNC , cnca , set-up ,8
 BMWLEDPAT , - , CNC , cnca , set-up ,8
 BMWPAT , - , CNC , cnca , set-up ,8
 BMWV , - , CNC , cnca , set-up ,8
 BMWVLED , - , CNC , cnca , set-up ,8
 BWD , - , CNC , cnca , set-up ,8
 BWDLED , - , CNC , cnca , set-up ,8
 BWDLEDPAT , - , CNC , cnca , set-up ,8
 BWDPAT , - , CNC , cnca , set-up ,8
 BWI , - , CNC , cnca , set-up ,8
 BWILED , - , CNC , cnca , set-up ,8
 BWILEDPAT , - , CNC , cnca , set-up ,8
 BWIPAT , - , CNC , cnca , set-up ,8
 BWLEDPAT , - , CNC , cnca , set-up ,8
 BWPAT , - , CNC , cnca , set-up ,8
 BWV , - , CNC , cnca , set-up ,8
 BWVLED , - , CNC , cnca , set-up ,8
 RAY3W , - , CNC , cnca , set-up ,8
 RAY4W , - , CNC , cnca , set-up ,8
 RAY6W , - , CNC , cnca , set-up ,8
 RAY8W , - , CNC , cnca , set-up ,8
 TBW , - , CNC , cnca , set-up ,8
 TBWDILED , - , CNC , cnca , set-up ,8
 TBWDILEDPAT , - , CNC , cnca , set-up ,8
 TBWDLED , - , CNC , cnca , set-up ,8
 TBWDLEDPAT , - , CNC , cnca , set-up ,8
 TBWDPAT , - , CNC , cnca , set-up ,8
 TBWILED , - , CNC , cnca , set-up ,8
 TBWILEDPAT , - , CNC , cnca , set-up ,8
 TBWIPAT , - , CNC , cnca , set-up ,8
 TBWPAT , - , CNC , cnca , set-up ,8
 TWCW , - , CNC , cnca , set-up ,8
 TWOW , - , CNC , cnca , set-up ,8
 TWRW , - , CNC , cnca , set-up ,8
 TWRWLED , - , CNC , cnca , set-up ,8
 WBW , - , CNC , cnca , set-up ,8
 WBWLED , - , CNC , cnca , set-up ,8
 BR , Flangeless , CNC , cncb , set-up ,2.21
 BR , Spackle Flange , CNC , cncb , set-up ,2.21
 BR , With Flanges , CNC , cncb , set-up ,2.21
 BRLED , Flangeless , CNC , cncb , set-up ,2.21
 BRLED , Spackle Flange , CNC , cncb , set-up ,2.21
 BRLED , With Flanges , CNC , cncb , set-up ,2.21
 BRLEDPAT , Flangeless , CNC , cncb , set-up ,2.21
 BRLEDPAT , Spackle Flange , CNC , cncb , set-up ,2.21
 BRLEDPAT , With Flanges , CNC , cncb , set-up ,2.21
 BRPAT , Flangeless , CNC , cncb , set-up ,2.21
 BRPAT , Spackle Flange , CNC , cncb , set-up ,2.21
 BRPAT , With Flanges , CNC , cncb , set-up ,2.21
 BRV , Flangeless , CNC , cncb , set-up ,2.21
 BRV , Spackle Flange , CNC , cncb , set-up ,2.21
 BRV , With Flanges , CNC , cncb , set-up ,2.21
