 Product ID , Work Center , Section , Option , ID , Task , Qty , Time(min) , Total Time ,, Sum of Total Time , Column Labels ,,,,,,
 101C , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Row Labels , Drill , Mill , Single Saw , Preparation , Grand Total ,,
 101CA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 101C , CAD 0.92 ,,,, CAD 0.92 ,,
 101CS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 101F , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 101FA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 202C , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 101CA , CAD 0.92 ,,,, CAD 0.92 ,,
 202CA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 202CS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 202F , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 202FA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 101CS , CAD 0.92 ,,,, CAD 0.92 ,,
 ARC , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 ARCA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 B6 , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 B6D , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 101CW ,,, CAD 4.36 ,, CAD 4.36 ,,
 B6DLED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 B6DLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 B6DPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 B6I , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 101CWA ,,, CAD 4.36 ,, CAD 4.36 ,,
 B6ILED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 B6ILEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 B6IPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 B6LEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 101F , CAD 0.92 ,,,, CAD 0.92 ,,
 B6PAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 BAS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 BASA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 BASS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 101FA , CAD 0.92 ,,,, CAD 0.92 ,,
 BB , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 BBD , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 BBDILED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 BBDILEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 101FW ,,, CAD 4.36 ,, CAD 4.36 ,,
 BBDLED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 BBDLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 BBDPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 BBI , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 101FWA ,,, CAD 4.36 ,, CAD 4.36 ,,
 BBILED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 BBILED2 , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 BBILEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 BBIPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 202C , CAD 0.92 ,,,, CAD 0.92 ,,
 BBLED2 , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 BBLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 BBPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 BD , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 202CA , CAD 0.92 ,,,, CAD 0.92 ,,
 BDI , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 BDLED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 BDLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 BDPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 202CS , CAD 0.92 ,,,, CAD 0.92 ,,
