 Product ID , Description , Work Center , Option , ID , Activity  , Total Time (min) ,,, Sum of Total Time (min) , Column Labels ,,,
B6RLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Row Labels , Drill , Saw Lenses , MS Table , Grand Total 
B6RLEDPAT,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, B6R ,0.5,,1.99,2.49
B6RVLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,0.35,0.85
BBRLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,,0.82,0.82
BBRLEDPAT,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, With Flanges ,,,0.82,0.82
BBRVLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, B6RLED ,0.5,1.04,4.8,6.34
BMRLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,,0.5
BMRLEDPAT,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,0.52,2.4,2.92
BMRVLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, With Flanges ,,0.52,2.4,2.92
BRLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, B6RLEDPAT ,0.5,1.04,4.8,6.34
BRLEDPAT,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,,0.5
BRVLED,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,0.52,2.4,2.92
RAY3,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, With Flanges ,,0.52,2.4,2.92
RAY4,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, B6RPAT ,0.5,,1.99,2.49
RAY6,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,0.35,0.85
RAY8,Flangeless,Drill,subendp2,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,,0.82,0.82
B6R,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, With Flanges ,,,0.82,0.82
B6RPAT,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, B6RV ,0.5,,1.99,2.49
B6RV,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,0.35,0.85
BBR,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,,0.82,0.82
BBRPAT,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, With Flanges ,,,0.82,0.82
BBRV,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, B6RVLED ,0.5,1.04,4.8,6.34
BMR,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,,0.5
BMRPAT,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,0.52,2.4,2.92
BMRV,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, With Flanges ,,0.52,2.4,2.92
BR,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, BBR ,0.5,,1.99,2.49
BRPAT,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, Flangeless ,0.5,,0.35,0.85
BRV,Flangeless,Drill,subendp4,1,drill 4 countersink in end plate,0.5,,, Spackle Flange ,,,0.82,0.82
B6RLED,Spackle Flange,MS Table,subendp1,2,stick flange on plate with double face tape,0.4,,, With Flanges ,,,0.82,0.82
B6RLED,Spackle Flange,MS Table,subendp1,2,stick flange on plate with double face tape,0.4,,, BBRLED ,0.5,1.04,4.8,6.34
B6RLEDPAT,Spackle Flange,MS Table,subendp1,2,stick flange on plate with double face tape,0.4,,, Flangeless ,0.5,,,0.5
B6RLEDPAT,Spackle Flange,MS Table,subendp1,2,stick flange on plate with double face tape,0.4,,, Spackle Flange ,,0.52,2.4,2.92
B6RVLED,Spackle Flange,MS Table,subendp1,2,stick flange on plate with double face tape,0.4,,, With Flanges ,,0.52,2.4,2.92
